dias,I(t)
1,26.6123522713049
2,28.2783572050025
3,30.0384030508215
4,31.9056607830367
5,33.8810702418656
6,35.9794780846019
7,38.2026249947316
8,40.5653070502592
9,43.0715258148703
10,45.7338228311177
11,48.5591619944575
12,51.5643310665574
13,54.7543034588524
14,58.1385094166825
15,61.7263791853875
16,65.5458963996109
17,69.6042270232374
18,73.9100112593075
19,78.4750265595456
20,83.3118116753028
21,88.4702081172377
22,93.9454251097465
23,99.7530679691854
24,105.908742011911
25,112.438245069961
26,119.396860085473
27,126.781829628127
28,134.613987754708
29,142.914168521998
30,151.730313997649
31,161.116614307723
32,171.076525164901
33,181.637788583870
34,192.828146579320
35,204.718632388577
36,217.356995395854
37,230.770463177832
38,245.003521703290
39,260.102420212070
40,276.125421338587
41,293.150612978735
42,311.220353399784
43,330.395611848912
44,350.739900413388
45,372.319274020578
46,395.249586725527
47,419.588748129334
48,445.417952274926
49,472.823330486970
50,501.894501649451
51,532.759026329818
52,565.532763659335
53,600.311075487520
54,637.209782814348
55,676.349403132988
56,717.872919257192
57,761.974810703688
58,808.768473969710
59,858.409282052718
60,911.058946828993
61,966.885519053630
62,1026.16611599696
63,1089.06110219351
64,1155.77086470331
65,1226.51178039491
66,1301.50876651386
67,1381.09908023501
68,1465.58624010131
69,1555.18408305391
70,1650.17924203470
71,1750.86922797806
72,1857.56242981077
73,1970.59882984027
74,2090.64455250464
75,2217.88685352502
76,2352.72381938333
77,2495.56850122865
78,2646.84891487719
79,2807.00804081234
80,2976.70133866580
81,3156.52121817261
82,3346.91583713247
83,3548.45513789340
84,3761.73043807565
85,3987.35443057167
