YUCATAN, Infectados
11.0,5.945647545296844e-32
12.0,1.1035937776138984e-30
13.0,1.8409574122066758e-29
14.0,2.770754025785158e-28
15.0,3.77663729688886e-27
16.0,4.6788517976399006e-26
17.0,5.287082822465146e-25
18.0,5.467596224645512e-24
19.0,5.1914364181330146e-23
20.0,4.539889353988074e-22
21.0,3.667548780483485e-21
22.0,2.7449722315102896e-20
23.0,1.9087276090141765e-19
24.0,1.236408811470106e-18
25.0,7.48027994320516e-18
26.0,4.237362112046543e-17
27.0,2.25288995969408e-16
28.0,1.1268278361778046e-15
29.0,5.313957307300581e-15
30.0,2.3678584247233857e-14
31.0,9.990119829709011e-14
32.0,3.9988044699576737e-13
33.0,1.5214919388355735e-12
34.0,5.513077831600313e-12
35.0,1.9058078480113773e-11
36.0,6.296102694118215e-11
37.0,1.9910953962375283e-10
38.0,6.037170683799538e-10
39.0,1.7577785057221185e-09
40.0,4.921844681779097e-09
41.0,1.3272261278231e-08
42.0,3.4515384316979566e-08
43.0,8.667760738800182e-08
44.0,2.1046606470005293e-07
45.0,4.947347762358106e-07
46.0,1.1271782949763071e-06
47.0,2.4919443380670845e-06
48.0,5.351642349083825e-06
49.0,1.1176317498465125e-05
50.0,2.2720410367474193e-05
51.0,4.50055298025694e-05
52.0,8.694777523367485e-05
53.0,0.00016397938625497684
54.0,0.0003021612115453813
55.0,0.0005444688118002682
56.0,0.0009601618603713567
57.0,0.0016584101784466168
58.0,0.0028076403102810826
59.0,0.004662366501467904
60.0,0.007599553407675269
61.0,0.012166790639268
62.0,0.01914470001665575
63.0,0.02962599918120955
64.0,0.045113463063268085
65.0,0.06763861467230146
66.0,0.0999023053008296
67.0,0.1454373934205739
68.0,0.20879250387582
69.0,0.2957343718598908
70.0,0.41346460412631264
71.0,0.5708449044351219
72.0,0.7786230169243277
73.0,1.0496499638283057
74.0,1.3990777267397885
75.0,1.844525477353512
76.0,2.406201926937701
77.0,3.1069714336673777
78.0,3.9723522506852533
79.0,5.030436741845591
80.0,6.311725517351923
81.0,7.848870181693068
82.0,9.676322630695237
83.0,11.829892434181378
84.0,14.346217617917175
85.0,17.262157918502794
86.0,20.61412312910675
87.0,24.437352293426482
88.0,28.765162072962273
89.0,33.62818447409271
90.0,39.053615182417495
91.0,45.064493963433755
92.0,51.679037948430064
93.0,58.91004717492215
94.0,66.76439957453108
95.0,75.24264981364061
96.0,84.33874313384176
97.0,94.03985176571243
98.0,104.32633776222728
99.0,115.17184237512095
100.0,126.54349852561424
101.0,138.40225962915954
102.0,150.70333512869382
103.0,163.39672065328688
104.0,176.42780880301257
105.0,189.73806519385326
106.0,203.26575358101945
107.0,216.94669359557997
108.0,230.71503483946918
109.0,244.50403173463215
110.0,258.246804549605
111.0,271.8770733608916
112.0,285.3298532739052
113.0,298.54210095640184
114.0,311.4533043569304
115.0,324.00600932809516
116.0,336.14627869291365
117.0,347.8240810340125
118.0,358.9936081105516
119.0,369.613521286189
120.0,379.64712866152837
121.0,389.06249573278654
122.0,397.832493338695
123.0,405.93478741021056
124.0,413.3517756080663
125.0,420.0704763314765
126.0,426.08237582085485
127.0,431.383239173724
128.0,435.97289106346375
129.0,439.8549718129028
130.0,443.0366742471273
131.0,445.52846644976205
132.0,447.34380519095834
133.0,448.4988443989689
134.0,449.0121426243482
135.0,448.9043730090898
136.0,448.1980388330555
137.0,446.91719727610575
138.0,445.0871936139913
139.0,442.7344076652592
140.0,439.8860139299698
141.0,436.56975651214907
142.0,432.8137395989882
143.0,428.6462339820234
144.0,424.0954998493505
145.0,419.1896258530858
146.0,413.95638426184365
147.0,408.42310184276175
148.0,402.6165459797819
149.0,396.5628254227465
150.0,390.28730497313563
151.0,383.81453334498184
152.0,377.1681833913524
153.0,370.37100385563116
154.0,363.44478179062384
155.0,356.41031478512787
156.0,349.28739214527326
157.0,342.09478419476164
158.0,334.8502388825334
159.0,327.57048491697856
160.0,320.2712406809744
161.0,312.9672282209588
162.0,305.6721916445365
163.0,298.39891930407003
164.0,291.1592691874482
165.0,283.9641969810814
166.0,276.82378631361644
167.0,269.74728073137663
168.0,262.7431169977899
169.0,255.81895934874728
170.0,248.98173437363857
171.0,242.2376662277929
172.0,235.59231191574509
173.0,229.05059641647176
174.0,222.61684745116193
175.0,216.294829721362
176.0,210.08777847048302
177.0,203.99843224466758
178.0,198.02906475004463
179.0,192.18151572239503
180.0,186.45722074254536
181.0,180.85723994617408
182.0,175.38228559055597
183.0,170.03274845304531
184.0,164.8087230468727
185.0,159.71003164938475
186.0,154.73624714608874
187.0,149.88671470102963
188.0,145.16057227014744
189.0,140.55676997943146
190.0,136.07408839408615
191.0,131.71115570841084
192.0,127.46646388910177
193.0,123.33838380687394
194.0,119.32517939309672
195.0,115.42502085938486
196.0,111.6359970189055
197.0,107.95612674865015
198.0,104.38336963204485
199.0,100.9156358211435
200.0,97.5507951572813
201.0,94.28668558846904
202.0,91.12112092108872
203.0,88.05189794253101
204.0,85.07680295044383
205.0,82.1936177231496
206.0,79.4001249646094
207.0,76.69411325613783
208.0,74.07338154575474
209.0,71.5357432048272
210.0,69.07902968034978
211.0,66.70109376989511
