Entidad,Num_Ent,Municipio,Num_Mun,lat,lon
Aguascalientes,1,Aguascalientes,1,21.879823,-102.296047
Aguascalientes,1,Asientos,2,22.238317,-102.089275
Aguascalientes,1,Calvillo,3,21.846907,-102.718751
Aguascalientes,1,Cosío,4,22.366409,-102.300044
Aguascalientes,1,Jesús María,5,21.961273,-102.343416
Aguascalientes,1,Pabellón de Arteaga,6,22.149202,-102.276542
Aguascalientes,1,Rincón de Romos,7,22.229233,-102.323069
Aguascalientes,1,San José de Gracia,8,22.150216,-102.415634
Aguascalientes,1,Tepezalá,9,22.224228,-102.166971
Aguascalientes,1,El Llano,10,21.918869,-101.965307
Aguascalientes,1,San Francisco de los Romo,11,22.072393,-102.272678
Baja California,2,Ensenada,1,31.808944,-116.595134
Baja California,2,Mexicali,2,32.641176,-115.475579
Baja California,2,Tecate,3,32.572679,-116.62655
Baja California,2,Tijuana,4,32.532461,-117.018913
Baja California,2,Playas de Rosarito,5,32.363684,-117.054459
Baja California Sur,3,Comondú,1,25.034636,-111.673339
Baja California Sur,3,Mulegé,2,27.336868,-112.268275
Baja California Sur,3,La Paz,3,24.148745,-110.30659
Baja California Sur,3,Los Cabos,8,23.061591,-109.694749
Baja California Sur,3,Loreto,9,26.012778,-111.343333
Campeche,4,Calkiní,1,20.371226,-90.050739
Campeche,4,Campeche,2,19.844814,-90.539649
Campeche,4,Carmen,3,18.637789,-91.83645
Campeche,4,Champotón,4,19.356219,-90.723891
Campeche,4,Hecelchakán,5,20.176966,-90.134517
Campeche,4,Hopelchén,6,19.745548,-89.845044
Campeche,4,Palizada,7,18.253598,-92.090902
Campeche,4,Tenabo,8,20.039677,-90.225763
Campeche,4,Escárcega,9,18.604315,-90.732001
Campeche,4,Calakmul,10,18.505371,-89.397276
Campeche,4,Candelaria,11,18.183451,-91.046294
Coahuila de Zaragoza,5,Abasolo,1,27.181944,-101.426389
Coahuila de Zaragoza,5,Acuña,2,29.330006,-100.978258
Coahuila de Zaragoza,5,Allende,3,28.347222,-100.854167
Coahuila de Zaragoza,5,Arteaga,4,25.450621,-100.849623
Coahuila de Zaragoza,5,Candela,5,26.840278,-100.663889
