YUCATAN Infectados-totales 	 Recuperados 
0.0	0.009783516686673684	0.0
1.0	0.011506214441593709	0.0
2.0	0.013509616717894758	0.0
3.0	0.01583558763302096	0.0
4.0	0.01853161873117769	0.0
5.0	0.021651495192376913	0.0
6.0	0.025256028855399362	0.0
7.0	0.02941386330061941	0.0
8.0	0.03420235649267155	0.0
9.0	0.03970854673334991	0.0
10.0	0.04603020792001913	0.0
11.0	0.05327700034215657	0.0
12.0	0.06157172347629166	0.0
13.0	0.07105167745535242	0.0
14.0	0.08187014008986707	0.009783516686673684
15.0	0.09419796650326236	0.011506214441593709
16.0	0.1082253186090841	0.013509616717894758
17.0	0.12416353180183701	0.01583558763302096
18.0	0.14224712635270712	0.01853161873117769
19.0	0.1627359710940743	0.021651495192376913
20.0	0.18591760703985422	0.025256028855399362
21.0	0.21210973861970064	0.02941386330061941
22.0	0.24166290020148296	0.03420235649267155
23.0	0.2749633055356184	0.03970854673334991
24.0	0.3124358876744854	0.04603020792001913
25.0	0.35454753679789774	0.05327700034215657
26.0	0.4018105432093552	0.06157172347629166
27.0	0.4547862525554584	0.07105167745535242
28.0	0.5140889400605768	0.08187014008986707
29.0	0.5803899102590849	0.09419796650326236
30.0	0.6544218283466822	0.1082253186090841
31.0	0.7369832888592184	0.12416353180183701
32.0	0.828943626921418	0.14224712635270712
33.0	0.9312479767879117	0.1627359710940743
34.0	1.044922581824951	0.18591760703985422
35.0	1.1710803594529546	0.21210973861970064
36.0	1.310926723887856	0.24166290020148296
37.0	1.465765668783732	0.2749633055356184
38.0	1.6370061110915473	0.3124358876744854
39.0	1.82616849660984	0.35454753679789774
40.0	2.0348916668151236	0.4018105432093552
41.0	2.2649399856242347	0.4547862525554584
42.0	2.5182107237606073	0.5140889400605768
43.0	2.7967416973734496	0.5803899102590849
44.0	3.102719156497602	0.6544218283466822
45.0	3.438485917844053	0.7369832888592184
46.0	3.8065497352823523	0.828943626921418
47.0	4.209591900218562	0.9312479767879117
48.0	4.650476062892458	1.044922581824951
49.0	5.132257264418351	1.1710803594529546
50.0	5.658191168180673	1.310926723887856
51.0	6.231743477974095	1.465765668783732
52.0	6.8565995290527635	1.6370061110915473
53.0	7.536674037030333	1.82616849660984
54.0	8.276120988358143	2.0348916668151236
55.0	9.079343654906747	2.2649399856242347
56.0	9.951004713995443	2.5182107237606073
57.0	10.89603645405815	2.7967416973734496
58.0	11.919651045008845	3.102719156497602
59.0	13.0273508512839	3.438485917844053
60.0	14.224938764494315	3.8065497352823523
61.0	15.51852853162609	4.209591900218562
62.0	16.914555053788064	4.650476062892458
63.0	18.419784629626786	5.132257264418351
64.0	20.041325116713775	5.658191168180673
65.0	21.786635983469434	6.231743477974095
66.0	23.663538223518177	6.8565995290527635
67.0	25.680224103783754	7.536674037030333
68.0	27.845266717131896	8.276120988358143
69.0	30.16762930995024	9.079343654906747
70.0	32.65667435473582	9.951004713995443
71.0	35.32217233753125	10.89603645405815
72.0	38.17431022992108	11.919651045008845
73.0	41.22369961527086	13.0273508512839
74.0	44.481384438961854	14.224938764494315
75.0	47.95884835254984	15.51852853162609
76.0	51.668021622059136	16.914555053788064
77.0	55.621287571001155	18.419784629626786
78.0	59.83148852920007	20.041325116713775
79.0	64.31193125910129	21.786635983469434
80.0	69.07639183193088	23.663538223518177
81.0	74.13911992687565	25.680224103783754
82.0	79.51484252735038	27.845266717131896
83.0	85.2187669894123	30.16762930995024
84.0	91.26658345847828	32.65667435473582
85.0	97.6744666116749	35.32217233753125
86.0	104.45907670442621	38.17431022992108
87.0	111.63755990124056	41.22369961527086
88.0	119.22754787208075	44.481384438961854
89.0	127.24715663722236	47.95884835254984
90.0	135.71498464507755	51.668021622059136
91.0	144.6501100691024	55.621287571001155
92.0	154.07208731161282	59.83148852920007
93.0	164.00094270408565	64.31193125910129
94.0	174.45716939532477	69.07639183193088
95.0	185.46172142071848	74.13911992687565
96.0	197.0360069476818	79.51484252735038
97.0	209.20188069429818	85.2187669894123
98.0	221.9816355200926	91.26658345847828
99.0	235.39799318981017	97.6744666116749
100.0	249.47409431302913	104.45907670442621
101.0	264.23348746439746	111.63755990124056
102.0	279.70011749120096	119.22754787208075
103.0	295.89831301695466	127.24715663722236
104.0	312.8527731515785	135.71498464507755
105.0	330.58855342064635	144.6501100691024
106.0	349.1310509280553	154.07208731161282
107.0	368.5059887682788	164.00094270408565
108.0	388.73939970616203	174.45716939532477
109.0	409.85760914397645	185.46172142071848
110.0	431.8872173970813	197.0360069476818
111.0	454.85508130125106	209.20188069429818
112.0	478.78829517621085	221.9816355200926
113.0	503.71417117147587	235.39799318981017
114.0	529.6602190220063	249.47409431302913
115.0	556.6541252425266	264.23348746439746
116.0	584.7237317906437	279.70011749120096
117.0	613.8970142301083	295.89831301695466
118.0	644.2020594266305	312.8527731515785
119.0	675.667042809715	330.58855342064635
120.0	708.3202052349202	349.1310509280553
121.0	742.1898294817216	368.5059887682788
122.0	777.3042164230147	388.73939970616203
123.0	813.6916609028273	409.85760914397645
124.0	851.3804273594628	431.8872173970813
125.0	890.3987252317156	454.85508130125106
126.0	930.7746841861705	478.78829517621085
127.0	972.5363292038754	503.71417117147587
128.0	1015.7115555648933	529.6602190220063
129.0	1060.3281037692154	556.6541252425266
130.0	1106.4135344326694	584.7237317906437
131.0	1153.9952031962387	613.8970142301083
132.0	1203.1002356870083	644.2020594266305
133.0	1253.7555025688266	675.667042809715
134.0	1305.9875947202231	708.3202052349202
135.0	1359.8227985767985	742.1898294817216
136.0	1415.2870716747734	777.3042164230147
137.0	1472.406018431712	813.6916609028273
138.0	1531.2048661998147	851.3804273594628
139.0	1591.7084416264727	890.3987252317156
140.0	1653.9411473557918	930.7746841861705
141.0	1717.9269391041657	972.5363292038754
142.0	1783.6893031417903	1015.7115555648933
143.0	1851.2512342111631	1060.3281037692154
144.0	1920.635213912551	1106.4135344326694
145.0	1991.8631895852168	1153.9952031962387
146.0	2064.956553712137	1203.1002356870083
147.0	2139.9361238747465	1253.7555025688266
148.0	2216.8221232829424	1305.9875947202231
149.0	2295.6341619043997	1359.8227985767985
150.0	2376.391218215962	1415.2870716747734
151.0	2459.1116215984175	1472.406018431712
152.0	2543.8130353948545	1531.2048661998147
153.0	2630.512440651223	1591.7084416264727
154.0	2719.226120556434	1653.9411473557918
155.0	2809.9696455980247	1717.9269391041657
156.0	2902.7578594478427	1783.6893031417903
157.0	2997.604865590949	1851.2512342111631
158.0	3094.524014709572	1920.635213912551
159.0	3193.5278928322955	1991.8631895852168
160.0	3294.628310257659	2064.956553712137
161.0	3397.8362912596194	2139.9361238747465
162.0	3503.1620645811563	2216.8221232829424
163.0	3610.6150547209036	2295.6341619043997
164.0	3720.203874016318	2376.391218215962
165.0	3831.936315525606	2459.1116215984175
166.0	3945.8193467093934	2543.8130353948545
167.0	4061.8591039117446	2630.512440651223
168.0	4180.060887638969	2719.226120556434
169.0	4300.429158633525	2809.9696455980247
170.0	4422.967534738883	2902.7578594478427
171.0	4547.67878855047	2997.604865590949
172.0	4674.564845846324	3094.524014709572
173.0	4803.626784790213	3193.5278928322955
174.0	4934.864835899004	3294.628310257659
175.0	5068.278382764826	3397.8362912596194
176.0	5203.865963521849	3503.1620645811563
177.0	5341.6252730465385	3610.6150547209036
178.0	5481.553165879233	3720.203874016318
179.0	5623.645659854208	3831.936315525606
180.0	5767.8979404246775	3945.8193467093934
181.0	5914.304365668061	4061.8591039117446
182.0	6062.858471956715	4180.060887638969
183.0	6213.552980278137	4300.429158633525
184.0	6366.3798031883325	4422.967534738883
185.0	6521.330052381485	4547.67878855047
