YUCATAN Susceptibles 	 Infectados 	 Recuperados 
0.0	2097000.0	0.0	0.0
1.0	2096999.9996695186	0.0	0.0
2.0	2096999.9995787812	0.0	0.0
3.0	2096999.999464861	0.0	0.0
4.0	2096999.999322292	0.0	0.0
5.0	2096999.9991444333	0.0	0.0
6.0	2096999.9989232407	0.0	0.0
7.0	2096999.998649002	0.0	0.0
8.0	2096999.9983100265	0.0	0.0
9.0	2096999.9978922864	0.0	0.0
10.0	2096999.997379	0.0	0.0
11.0	2096999.9967501513	0.0	0.0
12.0	2096999.9959819375	0.0	0.0
13.0	2096999.995046134	0.0	0.0
14.0	2096999.993909372	0.007137209044263084	0.00033048134763722487
15.0	2096999.9925323096	0.008710085124796324	0.00042121874287390064
16.0	2096999.9908686962	0.010600553190337033	0.0005351391137373804
17.0	2096999.9888643078	0.012866544587332641	0.0006777080180523236
18.0	2096999.9864557474	0.015575339555026308	0.0008555667036340156
19.0	2096999.9835690937	0.018804857288859403	0.0010767592299047708
20.0	2096999.9801183834	0.022645088554854694	0.0013509980548449324
21.0	2096999.9760039134	0.027199681441839756	0.0016899735682732021
22.0	2096999.971110345	0.0325876909363138	0.0021077136554065387
23.0	2096999.9653045954	0.038945503003716124	0.0026210000163159994
24.0	2096999.958433497	0.04642894374823974	0.0032498486457152747
25.0	2096999.9503212075	0.05521558398984296	0.004018062591222019
26.0	2096999.9407663534	0.06550724923090011	0.004953865853769243
27.0	2096999.929538885	0.07753274447583239	0.006090628067339683
28.0	2096999.9163766275	0.09155080270579287	0.007467690391900309
29.0	2096999.9009815068	0.10785326498887576	0.009131303867670224
30.0	2096999.8830154312	0.1267684992175338	0.011135692304074414
31.0	2096999.8620958084	0.14866506330359516	0.013544252605384966
32.0	2096999.837790684	0.17395561732391568	0.016430906258660324
33.0	2096999.8096134765	0.20310108759460077	0.019881616518764175
34.0	2096999.7770172958	0.236615083959378	0.023996086609699627
35.0	2096999.7393888293	0.27506856971071453	0.02888965501011296
36.0	2096999.6960417752	0.3190947815258002	0.03469540459172034
37.0	2096999.646209814	0.36939439460098394	0.041566503020032126
38.0	2096999.5890391024	0.4267409258178164	0.049678792393955014
39.0	2096999.5235802818	0.4919863652840242	0.05923364658106498
40.0	2096999.448779988	0.566067023978697	0.07046111508466935
41.0	2096999.363471861	0.6500095825104292	0.08362337254317208
42.0	2096999.266367045	0.7449373231900484	0.09901849309769317
43.0	2096999.1560441838	0.8520765247483169	0.11698456885654598
44.0	2096999.0309389064	0.97276299611796	0.1379041915216082
45.0	2096998.8893328123	1.1084487227751527	0.16220931590898013
46.0	2096998.7293419612	1.2607085962256188	0.190386523582576
47.0	2096998.5489048802	1.4312471943551903	0.22298270411336496
48.0	2096998.3457701015	1.6219055775731095	0.2606111705690776
49.0	2096998.117483252	1.8346680629912382	0.3039582247208275
50.0	2096997.8613737123	2.071668936334314	0.3537901861175205
51.0	2096997.5745408775	2.3351990588972398	0.41096089762101606
52.0	2096997.2538400434	2.6277123246868856	0.4764197182117714
53.0	2096996.895867957	2.9518319209377286	0.5512200118650892
54.0	2096996.496948067	3.310356343503513	0.6365281390633664
55.0	2096996.0531155174	3.706265117226558	0.7336329550536013
56.0	2096995.5601019277	4.142724170301543	0.8439558162877415
57.0	2096995.0133200134	4.623090810901268	0.9690610936048628
58.0	2096994.4078480955	5.1509182539434	1.1106671876395682
59.0	2096993.7384145583	5.729959645862586	1.2706580386841329
60.0	2096992.9993823154	6.364171535632604	1.4510951198081947
61.0	2096992.1847333445	7.057716741062384	1.6542298984685553
62.0	2096991.2880533605	7.814966560583535	1.8825167481421872
63.0	2096990.3025166914	8.640502282352715	2.1386262877120656
64.0	2096989.22087143	9.539115944512854	2.4254591224518345
65.0	2096988.035424933	10.515810302890614	2.7461599565182557
66.0	2096986.7380297405	11.575797965239236	3.104132042898657
67.0	2096985.3200699918	12.724499654364367	3.503051932802818
68.0	2096983.7724484128	13.967541566065442	3.946884482566879
69.0	2096982.0855739515	15.310751791784476	4.439898072280159
70.0	2096980.249350136	16.760155780135733	4.986679986589285
71.0	2096978.2531642332	18.32197081608302	5.592151904506131
72.0	2096976.0858772795	20.002599501396006	6.261585441582969
73.0	2096973.735815057	21.808622225124832	7.000617684546718
74.0	2096971.1907600902	23.746788618144908	7.815266655440799
75.0	2096968.4379447263	25.824007991308942	8.71194663953094
76.0	2096965.464045369	28.047338762356283	9.697483308725722
77.0	2096962.2551779288	30.423976882427706	10.779128570064781
78.0	2096958.7968945475	32.961243278788764	11.96457506696469
79.0	2096955.0741816543	35.666570336111405	13.26197025940887
80.0	2096951.0714594044	38.547487444383236	14.679930008137893
81.0	2096946.7725825475	41.611605647145815	16.227551587167184
82.0	2096942.1608427656	44.866601429275846	17.914426048632322
83.0	2096937.218972522	48.32019968886919	19.750649864064634
84.0	2096931.929150447	51.98015594293376	21.746835766725017
85.0	2096926.2730082904	55.8542378215041	23.914122720589152
86.0	2096920.2316394579	59.95020590940793	26.264184942978975
87.0	2096913.7856091475	64.27579399924633	28.80923990967155
88.0	2096906.914966091	68.83868882311216	31.562055273585706
89.0	2096899.5992559034	73.64650933418595	34.53595463083988
90.0	2096891.817536035	78.70678561256457	37.744822071082005
91.0	2096883.5483923163	84.02693747247375	41.20310545249249
92.0	2096874.7699570751	89.61425285038261	44.925818345753456
93.0	2096865.4599288038	95.47586605546172	48.928540595520275
94.0	2096855.595593349	101.61873596528943	53.22741745252113
95.0	2096845.1538465822	108.04962425070218	57.839157234313
96.0	2096834.111218515	114.77507371421396	62.78102747790817
97.0	2096822.443898808	121.80138682649479	68.07084955293382
98.0	2096810.1277636206	129.1346045449821	73.72699170965878
99.0	2096797.1384037454	136.78048549783676	79.76836054209325
100.0	2096783.45115396	144.74448561514532	86.2143908523869
101.0	2096769.0411235325	153.03173828750118	93.08503390891788
102.0	2096753.8832278035	161.64703512994853	100.40074409669788
103.0	2096737.9522207733	170.5948074266841	108.18246396502583
104.0	2096721.2227286082	179.87910832896503	116.45160768364659
105.0	2096703.6692839875	189.5035958753524	125.23004292496624
106.0	2096685.2663611998	199.47151689979427	134.54007119613607
107.0	2096665.988411904	209.78569188908804	144.404406650982
108.0	2096645.8099014598	220.4485008470524	154.84615341781057
109.0	2096624.7053457352	231.4618702182607	165.8887814850152
110.0	2096602.6493482967	242.82726091951616	177.55610119212213
111.0	2096579.6166378884	254.545657522358	189.8722363794286
112.0	2096555.5821060983	266.6175586249051	202.86159625464086
113.0	2096530.5208451205	279.04296844615635	216.54884603993003
114.0	2096504.408185514	291.8213896706727	230.95887646753224
115.0	2096477.2197338617	304.95181756626414	246.11677219641908
116.0	2096448.9314102372	318.4327353919896	262.0477792266464
117.0	2096419.5194853814	332.2621111084807	278.7772713917099
118.0	2096388.9606175	346.43739539730524	296.3307160126116
119.0	2096357.2318885901	360.9555209908881	314.73363880031866
120.0	2096324.3108402088	375.8129033093714	334.01158809593034
121.0	2096290.1755085946	391.0054423957944	354.19009854007004
122.0	2096254.804459064	406.52852613608127	375.29465426486297
123.0	2096218.176819599	422.37703474562164	397.3506517032759
124.0	2096180.272313551	438.5453464996846	420.3833621116383
125.0	2096141.0712913887	455.0273446806114	444.4178939017866
126.0	2096100.5547614177	471.81642571051543	469.47915487954594
127.0	2096058.7044194099	488.9055084344661	495.5918144860864
128.0	2096015.5026770795	506.2870445153592	522.780266138205
129.0	2095970.9326893464	523.9530298983694	551.0685897626832
130.0	2095924.978380339	541.8950172997341	580.480514618636
131.0	2095877.6244680816	560.1041296717453	611.0393825001906
132.0	2095828.856487828	578.5710745932681	642.7681114099169
133.0	2095778.6608139968	597.2861595328129	675.6891597912067
134.0	2095727.024680676	616.2393079291807	709.8244914053017
135.0	2095673.9362006655	635.4200760329207	745.1955409358644
136.0	2095619.3843830312	654.8176704504915	781.8231804009442
137.0	2095563.3591491485	674.4209663317321	819.7276864488975
138.0	2095505.8513472194	694.2185261404616	858.9287086113229
139.0	2095446.8527652482	714.1986189473176	899.445238582398
140.0	2095386.3561424704	734.349240183661	941.2955805900614
141.0	2095324.3551792263	754.6581317951811	984.4973229205525
142.0	2095260.8445452843	775.1128027340415	1029.0673106535642
143.0	2095195.8198866125	795.7005497287719	1075.0216196610527
144.0	2095129.2778306103	816.4084782716823	1122.3755319183701
145.0	2095061.21598981	837.2235237643856	1171.143512171936
146.0	2094991.6329640637	858.1324727630924	1221.339186003185
147.0	2094920.5283412337	879.1219842664648	1272.9753193240197
148.0	2094847.9026964095	900.1786109902498	1326.0637993344824
149.0	2094773.7575896753	921.2888205744566	1380.6156169687852
150.0	2094698.0955624569	942.4390166704709	1436.6408508514357
151.0	2094620.920132478	963.615559857446	1494.1486527806296
152.0	2094542.2357873619	984.8047883391321	1553.1472347517845
153.0	2094462.047976909	1005.9930383745073	1613.6438575297157
154.0	2094380.3631040957	1027.1666643975766	1675.6448207737224
155.0	2094297.1885148287	1048.3120587840883	1739.1554547157336
156.0	2094212.5324865002	1069.4156712251443	1804.1801133876056
157.0	2094126.4042153873	1090.4640276701066	1870.7221693898246
158.0	2094038.81380294	1111.4437488035164	1938.7840101900524
159.0	2093949.7722410064	1132.3415680233318	2008.3670359363216
160.0	2093859.2913960402	1153.1443488901537	2079.4716587662774
161.0	2093767.3839923437	1173.8391020195845	2152.0973035904844
162.0	2093674.06359439	1194.4130013924687	2226.242410324732
163.0	2093579.3445882828	1214.8534000600312	2301.904437543242
164.0	2093483.2421623967	1235.1478452235838	2379.0798675219066
165.0	2093385.7722872545	1255.2840926707286	2457.7642126380756
166.0	2093286.951694691	1275.2501205525627	2537.9520230909166
167.0	2093186.7978563565	1295.0341424884314	2619.636895904223
168.0	2093085.3289616073	1314.6246199874367	2702.811485171299
169.0	2092982.5638948414	1334.0102741778587	2787.467513499822
170.0	2092878.5222123223	1353.1800968379343	2873.59578461275
171.0	2092773.2241185494	1372.1233607235636	2961.186197059931
172.0	2092666.6904422166	1390.829629190464	3050.227758993569
173.0	2092558.9426118159	1409.2887651103392	3140.7086039596534
174.0	2092450.00263093	1427.4909390823777	3232.616007656431
175.0	2092339.893053261	1445.426636943435	3325.936405610069
176.0	2092228.6369574466	1463.0866665815429	3420.655411717201
177.0	2092116.2579217013	1480.4621640594846	3516.757837603273
178.0	2092002.7799983372	1497.5445990562935	3614.2277127454904
179.0	2091888.2276881982	1514.3257796363328	3713.048305308804
180.0	2091772.625915055	1530.7978563565207	3813.2021436434793
181.0	2091656.0	1546.9533257240214	3914.6710383926543
182.0	2091538.3756358833	1562.7850330174824	4017.4361051587357
183.0	2091419.7788618237	1578.2861744861266	4121.477787677681
184.0	2091300.2360378362	1593.4502989421544	4226.775881450684
185.0	2091179.7738196072	1608.2713087623506	4333.309557783495
186.0	2091058.419133454	1622.7434603161546	4441.057388184033
187.0	2090936.1991515	1636.8613638377356	4549.997369069993
188.0	2090813.1412670922	1650.6199827605778	4660.106946738809
189.0	2090689.2730705007	1664.014632533248	4771.363042553504
190.0	2090564.6223249133	1677.0409789359937	4883.742078298744
191.0	2090439.2169427653	1689.6950359177708	4997.220001662758
