Fecha,Inf Acumulado,MCL,MCLG,MCR,MCRG,MCG,MCGG
13/03/20,1,77,1,34,3,22,3
14/03/20,1,80,1,36,4,24,4
15/03/20,1,83,2,39,5,26,5
16/03/20,3,87,3,41,6,28,6
17/03/20,4,90,4,44,7,30,7
18/03/20,8,94,5,47,8,32,9
19/03/20,13,97,6,50,10,35,11
20/03/20,13,101,8,53,12,37,13
21/03/20,17,105,9,56,14,40,15
22/03/20,19,110,11,59,16,43,18
23/03/20,19,114,14,63,19,46,20
24/03/20,23,119,16,67,22,50,23
25/03/20,29,123,19,71,25,54,27
26/03/20,32,128,22,75,29,58,30
27/03/20,36,133,26,80,32,62,34
28/03/20,39,139,30,85,36,66,39
29/03/20,41,144,34,90,41,71,43
30/03/20,46,150,38,95,46,76,48
31/03/20,50,156,43,101,51,81,54
01/04/20,53,162,49,107,56,86,60
02/04/20,54,169,55,113,63,92,66
03/04/20,61,176,61,119,69,99,73
04/04/20,63,183,68,126,76,105,80
05/04/20,68,190,75,133,83,112,88
06/04/20,75,198,83,141,91,119,96
07/04/20,78,206,91,149,99,127,104
08/04/20,83,214,100,157,108,135,114
09/04/20,91,222,109,166,117,144,123
10/04/20,93,231,119,175,127,153,134
11/04/20,106,240,129,184,138,162,144
12/04/20,108,250,140,194,149,172,156
13/04/20,117,260,152,205,160,182,168
14/04/20,120,270,164,216,173,193,180
15/04/20,133,281,177,227,185,205,194
16/04/20,137,292,191,239,199,217,207
17/04/20,146,304,206,252,213,229,222
18/04/20,179,316,221,265,228,243,237
19/04/20,183,329,236,278,243,256,253
20/04/20,199,342,253,293,260,271,270
21/04/20,202,355,270,308,277,286,287
22/04/20,207,369,288,323,294,302,305
23/04/20,242,384,307,339,313,318,324
24/04/20,273,399,327,356,332,336,344
25/04/20,309,415,347,374,352,354,364
26/04/20,331,431,369,392,373,373,386
27/04/20,361,448,391,411,395,392,408
28/04/20,386,466,414,431,417,413,431
29/04/20,411,484,438,451,441,434,455
30/04/20,456,503,463,473,465,456,479
01/05/20,497,523,489,495,491,479,505
02/05/20,540,543,515,518,517,503,531
03/05/20,595,565,543,542,544,528,559
04/05/20,614,587,572,567,572,554,587
05/05/20,656,610,602,593,601,581,617
06/05/20,696,634,632,620,631,609,647
07/05/20,735,658,664,648,662,637,679
08/05/20,761,684,697,677,695,667,711
09/05/20,798,711,731,707,728,699,744
10/05/20,837,738,766,738,762,731,779
11/05/20,856,767,802,770,798,764,815
12/05/20,891,796,839,803,834,799,851
13/05/20,932,827,877,838,872,834,889
14/05/20,982,859,917,873,911,871,928
15/05/20,1035,892,957,910,951,910,968
16/05/20,1094,926,999,948,992,949,1009
17/05/20,1125,962,1042,987,1034,990,1052
18/05/20,1164,999,1087,1028,1078,1032,1095
19/05/20,1218,1037,1132,1070,1123,1075,1140
20/05/20,1257,1076,1179,1113,1169,1120,1186
21/05/20,1337,1117,1227,1158,1217,1167,1234
22/05/20,1378,1159,1276,1204,1265,1214,1282
23/05/20,1432,1203,1327,1252,1315,1263,1332
24/05/20,1500,1248,1379,1301,1367,1314,1383
25/05/20,1536,1295,1432,1352,1420,1366,1436
26/05/20,1581,1344,1487,1404,1474,1420,1490
27/05/20,1616,1394,1543,1457,1530,1475,1545
28/05/20,1675,1446,1601,1513,1587,1532,1602
29/05/20,1710,1500,1660,1570,1645,1590,1660
30/05/20,1785,1555,1720,1628,1705,1650,1719
31/05/20,1837,1613,1782,1688,1767,1712,1780
01/06/20,1877,1672,1845,1750,1830,1775,1843
02/06/20,1933,1733,1910,1814,1894,1840,1906
03/06/20,1976,1796,1976,1879,1960,1906,1972
04/06/20,2028,1862,2044,1946,2028,1975,2039
05/06/20,2075,1929,2113,2015,2097,2045,2107
06/06/20,2116,1999,2184,2086,2168,2117,2177
07/06/20,2146,2070,2256,2158,2241,2190,2248
