Fecha,Inf Casos diarios,MCL,MCLG,MCR,MCRG,MCG,MCGG
13/03/20,1,100,1,44,37,0,1
14/03/20,0,4,0,2,2,0,0
15/03/20,0,4,0,2,2,0,0
16/03/20,2,4,0,2,2,0,0
17/03/20,1,4,0,2,2,0,0
18/03/20,4,4,0,3,3,0,0
19/03/20,5,4,0,3,3,0,0
20/03/20,0,5,1,3,3,0,0
21/03/20,4,5,1,3,3,0,0
22/03/20,2,5,1,3,3,0,1
23/03/20,0,5,1,3,3,0,1
24/03/20,4,5,1,3,3,0,1
25/03/20,6,6,1,4,4,0,1
26/03/20,3,6,1,4,4,0,1
27/03/20,4,6,1,4,4,0,1
28/03/20,3,6,1,4,4,0,1
29/03/20,2,6,2,4,4,0,1
30/03/20,5,7,2,5,5,1,1
31/03/20,4,7,2,5,5,1,2
01/04/20,3,7,2,5,5,1,2
02/04/20,1,7,2,5,5,1,2
03/04/20,7,8,2,6,6,1,2
04/04/20,2,8,3,6,6,1,2
05/04/20,5,8,3,6,6,1,3
06/04/20,7,9,3,6,6,1,3
07/04/20,3,9,4,7,7,1,3
08/04/20,5,9,4,7,7,2,4
09/04/20,8,10,4,7,7,2,4
10/04/20,2,10,4,8,8,2,4
11/04/20,13,10,5,8,8,2,5
12/04/20,2,11,5,8,8,3,5
13/04/20,9,11,6,9,9,3,6
14/04/20,3,12,6,9,9,3,6
15/04/20,13,12,6,10,10,4,7
16/04/20,4,12,7,10,10,4,7
17/04/20,9,13,7,10,11,4,8
18/04/20,33,13,8,11,11,5,8
19/04/20,4,14,8,11,12,5,9
20/04/20,16,14,9,12,12,6,10
21/04/20,3,15,10,12,13,7,10
22/04/20,5,15,10,13,13,7,11
23/04/20,35,16,11,14,14,8,12
24/04/20,31,16,12,14,15,9,13
25/04/20,36,17,12,15,15,9,14
26/04/20,22,18,13,16,16,10,15
27/04/20,30,18,14,16,17,11,16
28/04/20,25,19,15,17,17,12,17
29/04/20,25,20,16,18,18,13,18
30/04/20,45,20,16,18,19,14,19
01/05/20,41,21,17,19,20,15,20
02/05/20,43,22,18,20,20,16,21
03/05/20,55,23,19,21,21,17,23
04/05/20,19,23,20,22,22,18,24
05/05/20,42,24,21,23,23,20,25
06/05/20,40,25,22,24,24,21,27
07/05/20,39,26,24,25,25,23,28
08/05/20,26,27,25,26,26,24,30
09/05/20,37,28,26,27,27,26,31
10/05/20,39,29,27,28,28,27,33
11/05/20,19,30,29,29,29,29,34
12/05/20,35,31,30,30,31,31,36
13/05/20,41,32,31,31,32,32,38
14/05/20,50,33,33,33,33,34,40
15/05/20,53,34,34,34,34,36,41
16/05/20,59,35,36,35,36,38,43
17/05/20,31,36,37,37,37,40,45
18/05/20,39,38,39,38,38,42,47
19/05/20,54,39,41,39,40,44,49
20/05/20,39,40,42,41,41,46,51
21/05/20,80,42,44,42,43,48,53
22/05/20,41,43,46,44,44,51,55
23/05/20,54,44,48,46,46,53,57
24/05/20,68,46,50,47,48,55,59
25/05/20,36,47,52,49,50,58,61
26/05/20,45,49,53,51,51,60,63
27/05/20,35,50,55,53,53,62,65
28/05/20,59,52,58,54,55,65,68
29/05/20,35,54,60,56,57,67,70
30/05/20,75,55,62,58,59,70,72
31/05/20,52,57,64,60,61,72,74
01/06/20,40,59,66,62,63,75,76
02/06/20,56,61,68,64,65,77,79
03/06/20,43,63,71,67,67,80,81
04/06/20,52,65,73,69,69,83,83
05/06/20,47,67,75,71,71,85,85
06/06/20,41,69,78,73,73,88,88
07/06/20,30,71,80,75,76,90,90
08/06/20,21,73,82,78,78,93,92
09/06/20,45,75,85,80,80,96,94
10/06/20,87,77,87,82,83,98,97
11/06/20,58,79,90,85,85,101,99
12/06/20,63,82,92,87,87,103,101
13/06/20,68,84,95,90,90,106,103
14/06/20,56,86,97,92,92,108,105
15/06/20,56,89,100,95,95,111,108
16/06/20,65,91,103,97,97,113,110
17/06/20,76,94,105,100,100,116,112
18/06/20,79,96,108,103,102,118,114
19/06/20,90,99,110,105,105,120,116
20/06/20,96,101,113,108,108,123,118
21/06/20,90,104,116,110,110,125,120
22/06/20,95,106,118,113,113,127,122
23/06/20,160,109,121,116,115,130,124
24/06/20,203,112,123,118,118,132,126
25/06/20,152,114,126,121,121,134,128
26/06/20,135,117,128,124,123,136,130
27/06/20,177,120,131,126,126,138,131
28/06/20,159,122,133,129,129,140,133
29/06/20,88,125,136,132,131,142,135
30/06/20,176,128,138,134,134,144,137
01/07/20,108,131,141,137,136,146,138
02/07/20,82,133,143,139,139,147,140
03/07/20,255,136,145,142,141,149,141
04/07/20,125,139,148,144,144,151,143
05/07/20,99,141,150,147,146,152,144
06/07/20,149,144,152,149,148,154,146
07/07/20,156,147,154,151,151,155,147
08/07/20,165,149,156,153,153,157,148
09/07/20,159,152,158,156,155,158,150
10/07/20,187,154,160,158,157,159,151
11/07/20,191,157,162,160,159,160,152
12/07/20,159,159,164,162,161,161,153
13/07/20,109,162,166,164,163,162,154
14/07/20,276,164,167,166,165,163,155
15/07/20,165,166,169,168,167,164,156
16/07/20,128,168,170,169,169,165,157
17/07/20,119,171,172,171,171,166,158
18/07/20,92,173,173,173,172,167,159
19/07/20,193,175,175,174,174,167,159
20/07/20,117,176,176,175,175,168,160
21/07/20,101,178,177,177,176,169,161
22/07/20,237,180,178,178,177,169,161
23/07/20,249,182,179,179,179,169,162
24/07/20,260,183,180,180,180,170,162
25/07/20,181,184,180,181,181,170,163
26/07/20,226,186,181,182,181,170,163
27/07/20,152,187,182,182,182,171,164
28/07/20,202,188,182,183,183,171,164
29/07/20,200,189,183,184,183,171,164
30/07/20,244,189,183,184,184,171,164
31/07/20,240,190,183,184,184,171,165
01/08/20,456,191,183,185,185,170,165
02/08/20,215,191,183,185,185,170,165
03/08/20,137,191,183,185,185,170,165
04/08/20,168,191,183,185,185,170,165
05/08/20,179,191,183,184,184,170,165
06/08/20,248,191,182,184,184,169,165
07/08/20,167,191,182,184,184,169,164
08/08/20,204,191,181,183,183,168,164
09/08/20,102,190,181,183,183,168,164
10/08/20,179,189,180,182,182,167,164
11/08/20,211,189,179,181,182,167,164
12/08/20,98,188,178,180,181,166,163
13/08/20,158,187,178,179,180,165,163
14/08/20,151,186,177,178,179,165,162
15/08/20,99,184,176,177,178,164,162
16/08/20,169,183,174,176,177,163,161
17/08/20,110,182,173,175,175,162,161
18/08/20,145,180,172,174,174,161,160
19/08/20,162,178,171,172,173,160,160
20/08/20,227,176,169,171,171,160,159
21/08/20,140,175,168,169,170,159,159
22/08/20,172,173,166,168,168,158,158
23/08/20,79,171,165,166,166,157,157
24/08/20,110,168,163,164,165,156,156
25/08/20,188,166,161,163,163,155,156
26/08/20,167,164,160,161,161,153,155
27/08/20,165,162,158,159,159,152,154
28/08/20,102,159,156,157,158,151,153
29/08/20,230,157,154,155,156,150,153
30/08/20,127,154,153,153,154,149,152
31/08/20,96,152,151,151,152,148,151
01/09/20,157,149,149,149,150,147,150
02/09/20,151,147,147,147,148,145,149
03/09/20,189,144,145,145,145,144,148
04/09/20,126,141,143,143,143,143,147
05/09/20,162,139,141,141,141,142,146
06/09/20,115,136,139,139,139,140,145
07/09/20,104,133,137,137,137,139,144
08/09/20,119,131,135,135,135,138,143
09/09/20,128,128,133,132,133,136,142
10/09/20,176,125,131,130,130,135,141
11/09/20,183,122,129,128,128,134,140
12/09/20,81,120,127,126,126,132,139
13/09/20,212,117,124,124,124,131,138
14/09/20,64,114,122,122,122,130,137
15/09/20,87,112,120,119,119,128,136
16/09/20,79,109,118,117,117,127,134
17/09/20,81,106,116,115,115,126,133
18/09/20,100,104,114,113,113,124,132
19/09/20,148,101,112,111,111,123,131
20/09/20,84,99,110,109,108,122,130
21/09/20,65,96,108,107,106,120,129
22/09/20,110,94,106,104,104,119,128
23/09/20,65,91,104,102,102,118,126
24/09/20,141,89,102,100,100,116,125
25/09/20,113,86,100,98,98,115,124
26/09/20,147,84,98,96,96,114,123
27/09/20,100,82,96,94,94,112,122
28/09/20,110,79,94,92,92,111,121
29/09/20,78,77,92,90,90,110,119
30/09/20,108,75,90,88,88,108,118
01/10/20,117,73,89,86,86,107,117
02/10/20,106,71,87,85,84,106,116
03/10/20,103,69,85,83,82,104,115
04/10/20,121,67,83,81,80,103,114
05/10/20,61,65,81,79,78,102,112
06/10/20,51,63,80,77,77,100,111
07/10/20,40,61,78,76,75,99,110
08/10/20,98,59,76,74,73,98,109
09/10/20,100,57,74,72,71,97,108
10/10/20,50,55,73,70,70,95,107
11/10/20,64,54,71,69,68,94,105
12/10/20,90,52,70,67,66,93,104
13/10/20,62,50,68,66,65,91,103
14/10/20,123,49,67,64,63,90,102
