Infectados,dias
8.592256449,1
8.839114949,2
9.092721754,3
9.353393559,4
9.621062502,5
9.895769361,6
10.17751414,7
10.46629682,8
10.76409661,9
11.06975244,10
11.38324669,11
11.70457934,12
12.03602344,13
12.37627867,14
12.72530408,15
13.08309966,16
13.451982,17
13.83066039,18
14.21907152,19
14.61721539,20
15.0271245,21
15.4481181,22
15.88037482,23
16.32414235,24
16.77966833,25
17.24720046,26
17.72698638,27
18.21927377,28
18.7243103,29
19.24234364,30
19.7737759,31
20.32022826,32
20.88085732,33
21.45594729,34
22.04578238,35
22.65064679,36
23.27082474,37
23.90660043,38
24.55825808,39
25.22608189,40
25.91035607,41
26.61161091,42
27.33084742,43
28.0678216,44
28.82286807,45
29.59632147,46
30.38851642,47
31.19978755,48
32.03046949,49
32.88129227,50
33.75240499,51
34.64412336,52
35.55680265,53
36.49079811,54
37.446465,55
38.42415858,56
39.42411966,57
40.44664866,58
41.49217388,59
42.56103974,60
43.65359069,61
44.77017116,62
45.91112557,63
47.07666847,64
48.26640832,65
49.4811897,66
50.72131416,67
51.98708325,68
53.27879851,69
54.59676149,70
55.94127372,71
57.31114843,72
58.70714368,73
60.12978316,74
61.57928004,75
63.05584751,76
64.55969872,77
66.09104687,78
67.64661142,79
69.22416862,80
70.82786661,81
72.45777872,82
74.11397829,83
75.79653866,84
77.50553316,85
79.24103513,86
81.00311791,87
82.79185484,88
84.60731925,89
86.44958449,90
88.31872388,91
90.20195837,92
92.09944089,93
94.01870592,94
95.95945878,95
97.92140476,96
99.90424917,97
101.9076973,98
103.9314545,99
105.9752261,100
108.0387173,101
110.1216334,102
112.2236799,103
114.3445619,104
116.456696,105
118.5709734,106
120.6943933,107
122.8260573,108
124.9650672,109
127.1105245,110
129.261531,111
131.4171885,112
133.5765985,113
135.7388627,114
137.9030829,115
140.0683608,116
142.2337979,117
144.3593444,118
146.4704093,119
148.5685949,120
150.6523018,121
152.7199307,122
154.7698822,123
156.800557,124
158.8103557,125
160.797679,126
162.7609275,127
164.6985019,128
166.6088029,129
168.48795,130
170.3055686,131
172.0837007,132
173.8202138,133
175.512976,134
177.1598548,135
178.7587183,136
180.3074341,137
181.8038701,138
183.245894,139
184.6313737,140
185.958177,141
187.2241717,142
188.4293625,143
189.5776185,144
190.6609035,145
191.6772441,146
192.6246667,147
193.501198,148
194.3048644,149
195.0336925,150
195.6857087,151
196.2589396,152
196.7514117,153
197.1611515,154
197.4861856,155
197.7454476,156
197.9559129,157
198.0885104,158
198.1421511,159
198.1157463,160
198.0082071,161
197.8184448,162
197.5453705,163
197.1878953,164
196.7449306,165
196.2153875,166
195.598177,167
194.8922106,168
194.1161873,169
193.2930234,170
192.3952704,171
191.4234096,172
190.377922,173
189.259289,174
188.0679917,175
186.8045111,176
185.4693286,177
184.0629253,178
182.6162006,179
181.1271968,180
179.5837133,181
177.9875759,182
176.3406104,183
174.6446425,184
172.901498,185
171.1130025,186
169.2809819,187
167.4072618,188
165.5070052,189
163.573899,190
161.6092204,191
159.6151945,192
157.594046,193
155.5479997,194
153.4792806,195
151.3901135,196
149.2827233,197
147.159539,198
145.0236081,199
142.876477,200
140.7204025,201
138.5576412,202
136.39045,203
134.2210856,204
132.0518047,205
129.8848641,206
127.7225206,207
125.5613135,208
123.4000383,209
121.2461101,210
119.1014266,211
116.9678854,212
114.8473843,213
112.7418208,214
110.6530928,215
108.583098,216
106.5337339,217
104.4865241,218
102.4505613,219
100.4333393,220
98.4361773,221
96.46039454,222
94.50731023,223
92.57824359,224
90.67451382,225
88.79744015,226
86.94834179,227
85.12853795,228
83.33082625,229
81.54602952,230
79.78662692,231
78.05320173,232
76.34633724,233
74.66661673,234
73.0146235,235
71.39094083,236
69.79615201,237
68.22993692,238
66.68112668,239
65.15877892,240
63.6630653,241
62.19415749,242
60.75222713,243
59.33744588,244
57.9499854,245
56.59001734,246
55.25771336,247
