Fecha,Inf Casos diarios,1 ola,Olas múltiples
13/03/20,1,0.8037271345,0.948606797
14/03/20,0,0.8105300349,0.9547407135
15/03/20,0,0.8333942881,0.9752427416
16/03/20,2,0.8751503304,1.0124085919
17/03/20,1,0.936695773,1.0667638336
18/03/20,4,1.018103687,1.1380752615
19/03/20,5,1.1181358036,1.2249148546
20/03/20,0,1.2352585171,1.3256065965
21/03/20,4,1.368217447,1.4387573524
22/03/20,2,1.5162933343,1.5634891556
23/03/20,0,1.6793544302,1.6994820371
24/03/20,4,1.8577966483,1.8469148947
25/03/20,6,2.0524356887,2.006367204
26/03/20,3,2.264391615,2.178725252
27/03/20,4,2.4949879538,2.3651112552
28/03/20,3,2.7456748599,2.566834194
29/03/20,2,3.0179775438,2.7853579179
30/03/20,5,3.3134659918,3.0222819784
31/03/20,4,3.6337395596,3.2793322734
01/04/20,3,3.9804164655,3.5583578294
02/04/20,1,4.3551192304,3.861326441
03/04/20,7,4.7594558388,4.1903194954
04/04/20,2,5.1950001861,4.5475331398
05/04/20,5,5.6632735457,4.9352874669
06/04/20,7,6.1657279315,5.3560392862
07/04/20,3,6.7037323361,5.8123955893
08/04/20,5,7.2785656154,6.307148936
09/04/20,8,7.8914188416,6.8433420871
10/04/20,2,8.5434022847,7.424340866
11/04/20,13,9.2355501307,8.0539072376
12/04/20,2,9.9688165066,8.7362786544
13/04/20,9,10.7440400849,9.476269873
14/04/20,3,11.561872956,10.2794111951
15/04/20,13,12.4227012122,11.1521061188
16/04/20,4,13.3265768146,12.101790428
17/04/20,9,14.2731690046,13.1370781591
18/04/20,33,15.2617357286,14.2678304822
19/04/20,4,16.2911140738,15.5050221991
20/04/20,16,17.3597453642,16.8602166956
21/04/20,3,18.4657332733,18.3444131942
22/04/20,5,19.6069032768,19.9660514744
23/04/20,35,20.7808420881,21.7280232023
24/04/20,31,21.9849105318,23.6236514588
25/04/20,36,23.2162342899,25.6318622901
26/04/20,22,24.4716727413,27.7121795463
27/04/20,30,25.7477721538,29.8008182758
28/04/20,25,27.0407230315,31.809741524
29/04/20,25,28.3463360367,33.6308064974
30/04/20,45,29.6600429097,35.1476016392
01/05/20,41,30.9769220327,36.2571980011
02/05/20,43,32.2917432779,36.8992585574
03/05/20,55,33.5990349528,37.0849477772
04/05/20,19,34.8931716742,36.9156146189
05/05/20,42,36.1684685874,36.5779631421
06/05/20,40,37.4192706572,36.2991517084
07/05/20,39,38.6400289291,36.2463557704
08/05/20,26,39.8253542049,36.50838489
09/05/20,37,40.9700388288,37.1351262646
10/05/20,39,42.0690783062,38.1223947456
11/05/20,19,43.1177193686,39.4004885915
12/05/20,35,44.111512503,40.8381482686
13/05/20,41,45.0463505622,42.282773885
14/05/20,50,45.9184901241,43.651540662
15/05/20,53,46.7245653121,44.9316229811
16/05/20,59,47.4616099901,46.1165806836
17/05/20,31,48.1270660592,47.1984288808
18/05/20,39,48.7187611365,48.1651702778
19/05/20,54,49.2348862755,49.0034027495
20/05/20,39,49.6739981379,49.7004141558
21/05/20,80,50.035050683,50.2446053776
22/05/20,41,50.3174419433,50.626082354
23/05/20,54,50.5210450094,50.8369932584
24/05/20,68,50.6462207357,50.8720188497
25/05/20,36,50.6938244275,50.7307119507
26/05/20,45,50.6651947871,50.4230794043
27/05/20,35,50.5621151381,49.9782804348
28/05/20,59,50.3867488904,49.4554735987
29/05/20,35,50.1415651706,48.9556485123
30/05/20,75,49.8292831594,48.6318881338
31/05/20,52,49.4528329454,48.6932308067
01/06/20,40,49.0153149419,49.3945617261
02/06/20,56,48.519964331,51.0021809144
03/06/20,43,47.9701275164,53.7227186954
04/06/20,52,47.3692503664,57.5823671107
05/06/20,47,46.7208720734,62.413406593
06/06/20,41,46.0286134606,67.9313046831
07/06/20,30,45.2961517822,73.7672692476
08/06/20,21,44.5271851948,79.5036026739
09/06/20,45,43.7253940205,84.7203686708
10/06/20,87,42.8944030874,89.0672948232
11/06/20,58,42.0377482431,92.3762978531
12/06/20,63,41.1588508984,94.6606934755
13/06/20,68,40.2610066597,96.0221512011
14/06/20,,39.3473898138,96.6065370065
15/06/20,,38.4210644755,96.5697152905
16/06/20,,37.484990597,96.0559547128
17/06/20,,36.5420185207,95.1873144622
18/06/20,,35.5948713415,94.0606824029
19/06/20,,34.6461202196,92.7492599683
20/06/20,,33.6981632007,91.3060491313
21/06/20,,32.753210589,89.767915267
22/06/20,,31.8132754041,88.1597105204
23/06/20,,30.8801733762,86.4983452689
24/06/20,,29.9555355282,84.7961614283
