YUCATAN Infectados-totales 	 Recuperados 
0.0	0.0018530654476000127	0.0
1.0	0.002263626043308506	0.0
2.0	0.0027585987804780118	0.0
3.0	0.003353934215545812	0.0
4.0	0.004068316626972824	0.0
5.0	0.004923580883867433	0.0
6.0	0.005945184168804394	0.0
7.0	0.007162738440284754	0.0
8.0	0.008610609968474634	0.0
9.0	0.010328592737278475	0.0
10.0	0.012362662973793705	0.0
11.0	0.01476582253973114	0.0
12.0	0.01759903939505882	0.0
13.0	0.020932293818140678	0.0
14.0	0.024845739534834127	0.0018530654476000127
15.0	0.029430989366840306	0.002263626043308506
16.0	0.03479253545219768	0.0027585987804780118
17.0	0.04104931451295501	0.003353934215545812
18.0	0.04833642904126015	0.004068316626972824
19.0	0.056807035639571464	0.004923580883867433
20.0	0.06663441207746337	0.005945184168804394
21.0	0.07801421491035711	0.007162738440284754
22.0	0.09116693973817597	0.008610609968474634
23.0	0.1063405963580115	0.010328592737278475
24.0	0.12381361117799927	0.012362662973793705
25.0	0.1438979693033949	0.01476582253973114
26.0	0.1669426086740874	0.01759903939505882
27.0	0.19333707851945856	0.020932293818140678
28.0	0.22351547419577555	0.024845739534834127
29.0	0.2579606601778192	0.029430989366840306
30.0	0.2972087925850904	0.03479253545219768
31.0	0.34185415212921405	0.04104931451295501
32.0	0.3925542977690466	0.04833642904126015
33.0	0.4500355506501385	0.056807035639571464
34.0	0.5150988170829467	0.06663441207746337
35.0	0.5886257583776129	0.07801421491035711
36.0	0.6715853143011049	0.09116693973817597
37.0	0.7650405857548991	0.1063405963580115
38.0	0.8701560809887656	0.12381361117799927
39.0	0.9882053282703418	0.1438979693033949
40.0	1.120578856423479	0.1669426086740874
41.0	1.2687925430348153	0.19333707851945856
42.0	1.4344963284117058	0.22351547419577555
43.0	1.619483291561908	0.2579606601778192
44.0	1.8256990825622144	0.2972087925850904
45.0	2.05525170369762	0.34185415212921405
46.0	2.310421629693479	0.3925542977690466
47.0	2.5936722552386122	0.4500355506501385
48.0	2.9076606558201803	0.5150988170829467
49.0	3.2552486456698864	0.5886257583776129
50.0	3.63951411436994	0.6715853143011049
51.0	4.063762621397246	0.7650405857548991
52.0	4.531539225609449	0.8701560809887656
53.0	5.0466405244103605	0.9882053282703418
54.0	5.613126875088755	1.120578856423479
55.0	6.235334768617873	1.2687925430348153
56.0	6.917889324048529	1.4344963284117058
57.0	7.665716869539634	1.619483291561908
58.0	8.484057574062614	1.8256990825622144
59.0	9.378478091903245	2.05525170369762
60.0	10.354884180281271	2.310421629693479
61.0	11.419533248728523	2.5936722552386122
62.0	12.579046797321693	2.9076606558201803
63.0	13.840422699472482	3.2552486456698864
64.0	15.211047283742374	3.63951411436994
65.0	16.698707168090856	4.063762621397246
66.0	18.31160079908214	4.531539225609449
67.0	20.058349647894072	5.0466405244103605
68.0	21.94800901447833	5.613126875088755
69.0	23.99007839094702	6.235334768617873
70.0	26.194511335187535	6.917889324048529
71.0	28.57172480586044	7.665716869539634
72.0	31.13260791030302	8.484057574062614
73.0	33.88853001745611	9.378478091903245
74.0	36.8513481887466	10.354884180281271
75.0	40.03341388089852	11.419533248728523
76.0	43.44757887590509	12.579046797321693
77.0	47.107200394872834	13.840422699472482
78.0	51.02614535413888	15.211047283742374
79.0	55.21879372396032	16.698707168090856
80.0	59.70004095217444	18.31160079908214
81.0	64.48529941751566	20.058349647894072
82.0	69.59049887974938	21.94800901447833
83.0	75.03208589642503	23.99007839094702
84.0	80.82702217885893	26.194511335187535
85.0	86.99278186290093	28.57172480586044
86.0	93.54734767314315	31.13260791030302
87.0	100.50920596241451	33.88853001745611
88.0	107.89734061174624	36.8513481887466
89.0	115.73122577937309	40.03341388089852
90.0	124.03081749084564	43.44757887590509
91.0	132.8165440658421	47.107200394872834
92.0	142.10929538088726	51.02614535413888
93.0	151.93041097076835	55.21879372396032
94.0	162.30166697509202	59.70004095217444
95.0	173.24526194003158	64.48529941751566
96.0	184.78380148892225	69.59049887974938
97.0	196.94028187892354	75.03208589642503
98.0	209.7380724644883	80.82702217885893
99.0	223.200897091815	86.99278186290093
100.0	237.3528144518351	93.54734767314315
101.0	252.2181974225507	100.50920596241451
102.0	267.8217114347033	107.89734061174624
103.0	284.18829189779933	115.73122577937309
104.0	301.3431207264057	124.03081749084564
105.0	319.3116020094402	132.8165440658421
106.0	338.1193368677178	142.10929538088726
107.0	357.79209754755203	151.93041097076835
108.0	378.3558008003898	162.30166697509202
