YUCATAN Infectados-totales 	 Recuperados 
0.0	3.886509784453956e-23	0.0
1.0	2.1902987886633754e-22	0.0
2.0	1.1744098753795682e-21	0.0
3.0	5.9997289099675256e-21	0.0
4.0	2.924449269805862e-20	0.0
5.0	1.3618980390523777e-19	0.0
6.0	6.06741529571217e-19	0.0
7.0	2.589259799273096e-18	0.0
8.0	1.0597380016949995e-17	0.0
9.0	4.1648086734253263e-17	0.0
10.0	1.5735223287157811e-16	0.0
11.0	5.721700131564054e-16	0.0
12.0	2.004612461634004e-15	0.0
13.0	6.7741364346769985e-15	0.0
14.0	2.210279887997424e-14	3.886509784453956e-23
15.0	6.970261228244067e-14	2.1902987886633754e-22
16.0	2.1265974365169827e-13	1.1744098753795682e-21
17.0	6.283038132982395e-13	5.9997289099675256e-21
18.0	1.7993021437443467e-12	2.924449269805862e-20
19.0	4.9989493151419085e-12	1.3618980390523777e-19
20.0	1.3485672433577674e-11	6.06741529571217e-19
21.0	3.535524117064046e-11	2.589259799273096e-18
22.0	9.015292309663448e-11	1.0597380016949995e-17
23.0	2.2376791919193518e-10	4.1648086734253263e-17
24.0	5.410595011847662e-10	1.5735223287157811e-16
25.0	1.2754073237813903e-09	5.721700131564054e-16
26.0	2.9331043139618962e-09	2.004612461634004e-15
27.0	6.585514699782548e-09	6.7741364346769985e-15
28.0	1.4445598642736404e-08	2.210279887997424e-14
29.0	3.097821033742242e-08	6.970261228244067e-14
30.0	6.4988277443781e-08	2.1265974365169827e-13
31.0	1.3345856847021033e-07	6.283038132982395e-13
32.0	2.6844636732686965e-07	1.7993021437443467e-12
33.0	5.29209272778387e-07	4.9989493151419085e-12
34.0	1.023076125603638e-06	1.3485672433577674e-11
35.0	1.94063357997459e-06	3.535524117064046e-11
36.0	3.6138629222559715e-06	9.015292309663448e-11
37.0	6.610327336263516e-06	2.2376791919193518e-10
38.0	1.1882871140173026e-05	5.410595011847662e-10
39.0	2.1003151456424512e-05	1.2754073237813903e-09
40.0	3.651938491915471e-05	2.9331043139618962e-09
41.0	6.249474963981766e-05	6.585514699782548e-09
42.0	0.00010530378085778325	1.4445598642736404e-08
43.0	0.0001747906819160805	3.097821033742242e-08
44.0	0.00028592650924765087	6.4988277443781e-08
45.0	0.00046114227835026216	1.3345856847021033e-07
46.0	0.0007335624895666471	2.6844636732686965e-07
47.0	0.0011514182894769	5.29209272778387e-07
48.0	0.0017839808284318137	1.023076125603638e-06
49.0	0.0027294220515321987	1.94063357997459e-06
50.0	0.004125080119029647	3.6138629222559715e-06
51.0	0.006160677029587624	6.610327336263516e-06
52.0	0.009095103133531115	1.1882871140173026e-05
