YUCATAN Susceptibles 	 Infectados 	 Recuperados 
0.0	2097000.0	0.0	0.0
1.0	2097000.0	0.0	0.0
2.0	2097000.0	0.0	0.0
3.0	2097000.0	0.0	0.0
4.0	2097000.0	0.0	0.0
5.0	2097000.0	0.0	0.0
6.0	2097000.0	0.0	0.0
7.0	2097000.0	0.0	0.0
8.0	2097000.0	0.0	0.0
9.0	2097000.0	0.0	0.0
10.0	2097000.0	0.0	0.0
11.0	2097000.0	0.0	0.0
12.0	2097000.0	0.0	0.0
13.0	2096999.9999999998	0.0	0.0
14.0	2096999.9999999995	1.0741674368435828e-09	5.149053916774416e-15
15.0	2096999.9999999988	2.211611374136562e-09	1.4328463743422668e-14
16.0	2096999.999999998	4.4733325966782295e-09	3.8881193067996295e-14
17.0	2096999.9999999956	8.89260053028388e-09	1.0294759129059817e-13
18.0	2096999.9999999912	1.7381473554560822e-08	2.661287079646104e-13
19.0	2096999.9999999825	3.3418352918524204e-08	6.720816143525963e-13
20.0	2096999.9999999665	6.322663913840545e-08	1.6590389805995733e-12
21.0	2096999.9999999367	1.1776151173878667e-07	4.005335008931727e-12
22.0	2096999.9999998822	2.1600421564824294e-07	9.462506532204068e-12
23.0	2096999.999999784	3.90337136423808e-07	2.1887199497667484e-11
24.0	2096999.9999996095	6.951771066252339e-07	4.959258341153752e-11
25.0	2096999.9999993048	1.2206304299450547e-06	1.1013012145476109e-10
26.0	2096999.9999987793	2.1137683572206596e-06	2.3981329293662704e-10
27.0	2096999.999997886	3.6112920279700904e-06	5.123040023147656e-10
28.0	2096999.999996388	6.088968101734473e-06	1.0741725858974995e-09
29.0	2096999.9999939098	1.0135400362454857e-05	2.2116257026003056e-09
30.0	2096999.9999898623	1.6660612305720578e-05	4.473371477871297e-09
31.0	2096999.999983335	2.705372812816371e-05	8.89270347787517e-09
32.0	2096999.9999729374	4.340895196855516e-05	1.7381739683268788e-08
33.0	2096999.9999565736	6.884526973995605e-05	3.341902500013856e-08
34.0	2096999.9999311212	0.00010795305227679406	6.322829817738605e-08
35.0	2096999.9998919838	0.00016741023383233826	1.177655170737956e-07
36.0	2096999.999832472	0.0002568221639183104	2.1601367815477514e-07
37.0	2096999.9997429617	0.00038985272711479046	3.9035902362330567e-07
38.0	2096999.999609757	0.0005857299713295808	6.952266992086454e-07
39.0	2096999.9994135748	0.000871227262620496	1.2207405600665094e-06
40.0	2096999.999127552	0.0012832407548436732	2.114008170513596e-06
41.0	2096999.9987146452	0.0018721054363444764	3.6118043319724053e-06
42.0	2096999.9981242828	0.002705814730225162	6.090042274320371e-06
43.0	2096999.9972880953	0.0038753319206341753	1.0137611988157458e-05
44.0	2096999.9961145304	0.005501204687531335	1.666508567719845e-05
45.0	2096999.9944821303	0.007741715676623972	2.7062620831641585e-05
46.0	2096999.9922312216	0.010802821025821172	4.342633370823843e-05
47.0	2096999.9891537526	0.014950143649254385	6.887868876495619e-05
48.0	2096999.9849809776	0.020523297235421796	0.00010801628057497145
49.0	2096999.9793686864	0.027952818647594246	0.00016752799934941206
50.0	2096999.9718796534	0.0377799790005482	0.00025703817759646516
51.0	2096999.9619629828	0.05067972546627504	0.00039024308613841375
52.0	2096999.9489300314	0.06748697532358398	0.0005864251980287894
53.0	2096999.9319265995	0.08922643965569446	0.0008724480031805625
54.0	2096999.9099011123	0.11714609551286534	0.0012853547630141868
55.0	2096999.8815685497	0.1527543518421226	0.0018757172406764489
56.0	2096999.8453699308	0.19786086613101717	0.002711904772499482
57.0	2096999.7994272292	0.254620866216771	0.003885469532622333
58.0	2096999.7414936642	0.32558271643848713	0.0055178697732085336
59.0	2096999.668899414	0.4137383413073814	0.007768778297455614
60.0	2096999.5784928803	0.522575985867586	0.010846247359529411
61.0	2096999.4665777667	0.6561346532879359	0.015019022338019342
62.0	2096999.3288463245	0.8190594208999794	0.020631313515996768
63.0	2096999.1603092656	1.016656700276467	0.02812034664694366
64.0	2096998.955222953	1.2549483797480396	0.038037017178144665
65.0	2096998.707014603	1.540723673866098	0.051069968552413456
66.0	2096998.4082063576	1.88158740859922	0.06807340052161277
67.0	2096998.050339191	2.286003398150437	0.09009888765887503
68.0	2096997.623897714	2.7633315234480236	0.11843145027587952
69.0	2096997.1182370263	3.3238571072446637	0.15463006908279905
70.0	2096996.5215128236	3.9788111992432342	0.20057277090351666
71.0	2096995.82061603	4.740380438722834	0.2585063357493933
72.0	2096995.0011132255	5.62170525270461	0.3311005862116957
73.0	2096994.047194161	6.63686527460368	0.421507119604837
74.0	2096992.9416276058	7.800851030242951	0.5334222332271155
75.0	2096991.6657267364	9.129521132600606	0.6711536756259552
76.0	2096990.1993251918	10.639544450181111	0.8396907344159762
77.0	2096988.5207648154	12.348326961900462	1.0447770469234108
78.0	2096986.6068959911	14.273923278463272	1.2929853969261842
79.0	2096984.4330913245	16.434933090282275	1.5917936424185115
80.0	2096981.9732732673	18.85038308845617	1.9496608091208327
81.0	2096979.1999561025	21.539595191278885	2.376102285809312
82.0	2096976.084302523	24.522042187233637	2.881762973723903
83.0	2096972.596194839	27.817192169595767	3.4784871763274627
84.0	2096968.704320654	31.444343381154845	4.179383970146751
85.0	2096964.3762726488	35.42245130422989	4.998886774472227
86.0	2096959.5786619212	39.76995001589164	5.952805838916305
87.0	2096954.2772441453	44.50456997675896	7.058372394208517
88.0	2096948.437057629	49.64315453054147	8.334273263470067
89.0	2096942.022572206	55.20147745831123	9.800674808226562
90.0	2096934.9978477336	61.19406395508929	11.479235184597087
91.0	2096927.3267008604	67.63401737654912	13.393104008823872
92.0	2096918.9728786147	74.53285404141418	15.566908675389456
93.0	2096909.9002372832	81.90034827234112	18.026726732700787
94.0	2096900.0729249949	89.74438971758052	20.800043897577
95.0	2096889.4555663848	98.07085482107993	23.915697477088198
96.0	2096878.013447702	106.88349410425431	27.40380516095754
97.0	2096865.7127007348	116.18383669315772	31.29567934592323
98.0	2096852.5204839609	125.97111327547742	35.623727351301596
99.0	2096838.4051593733	136.24219840798975	40.421338078702114
100.0	2096823.3364635133	146.99157282239378	45.72275585480794
101.0	2096807.2856713228	158.21130610115608	51.56294237096748
102.0	2096790.2257515278	169.89105982042264	57.97742779401154
103.0	2096772.1315123856	182.01811098907345	65.00215226653779
104.0	2096752.9797367444	194.57739535618305	72.67329913968638
105.0	2096732.7493055041	207.5515699175018	81.027121385373
106.0	2096711.4213086972	220.92109372865679	90.09976271680364
107.0	2096688.9791435546	234.66432593144538	99.92707500504191
108.0	2096665.4085990635	248.757639722256	110.54443361515752
109.0	2096640.6979266626	263.175550839927	121.98655229816814
110.0	2096614.8378968618	277.89085902542985	134.28729926521186
111.0	2096587.8218417093	292.8748008080905	147.47951603908095
112.0	2096559.6456831528	308.0972119026894	161.59484062677902
113.0	2096530.3079474706	323.52669745812364	176.66353648669187
114.0	2096499.809766055	339.1308083804612	192.7143286772017
115.0	2096468.1548629424	354.87622195976155	209.77424847212356
116.0	2096435.349529568	370.72892505933424	227.86848761443417
117.0	2096401.4025873262	386.65439817614845	247.02026325561124
118.0	2096366.3253385683	402.6177987498032	267.2506944958694
119.0	2096330.1315067543	418.5841421824279	288.5786913028748
120.0	2096292.8371665147	434.518479130809	311.0208564454604
121.0	2096254.4606644236	450.3860677424161	334.5914009364873
122.0	2096215.022531321	466.15253962650786	359.3020733374135
123.0	2096174.5453870362	481.7840584776928	385.1621031380951
124.0	2096133.053838384	497.24747040004763	412.1781582906417
125.0	2096090.5743713093	512.5104451129298	440.35431684717145
126.0	2096047.13523804	527.5416073530657	469.6920525294684
127.0	2096002.7663401174	542.3106579194996	500.1902339448155
128.0	2095957.4991081357	556.7884839369574	531.8451370576629
129.0	2095911.3663790054	570.9472580376724	564.6504704318851
130.0	2095864.4022715304	584.7605262805317	598.5974126737684
131.0	2095816.6420610456	598.203284738511	633.6746614317597
