YUCATAN Susceptibles 	 Infectados 	 Recuperados 
0.0	2097000.0	0.0	0.0
1.0	2097000.0	0.0	0.0
2.0	2097000.0	0.0	0.0
3.0	2097000.0	0.0	0.0
4.0	2097000.0	0.0	0.0
5.0	2097000.0	0.0	0.0
6.0	2097000.0	0.0	0.0
7.0	2097000.0	0.0	0.0
8.0	2097000.0	0.0	0.0
9.0	2097000.0	0.0	0.0
10.0	2097000.0	0.0	0.0
11.0	2097000.0	0.0	0.0
12.0	2097000.0	0.0	0.0
13.0	2097000.0	0.0	0.0
14.0	2097000.0	2.210279884110914e-14	3.886509784453956e-23
15.0	2097000.0	6.970261206341079e-14	2.1902987886633754e-22
16.0	2097000.0	2.126597424772884e-13	1.1744098753795682e-21
17.0	2097000.0	6.283038072985106e-13	5.9997289099675256e-21
18.0	2097000.0	1.799302114499854e-12	2.924449269805862e-20
19.0	2097000.0	4.998949178952105e-12	1.3618980390523777e-19
20.0	2097000.0	1.3485671826836146e-11	6.06741529571217e-19
21.0	2097000.0	3.535523858138066e-11	2.589259799273096e-18
22.0	2097000.0	9.015291249925446e-11	1.0597380016949995e-17
23.0	2097000.0	2.2376787754384846e-10	4.1648086734253263e-17
24.0	2096999.9999999998	5.410593438325333e-10	1.5735223287157811e-16
25.0	2096999.9999999995	1.2754067516113772e-09	5.721700131564054e-16
26.0	2096999.9999999988	2.9331023093494347e-09	2.004612461634004e-15
27.0	2096999.999999997	6.585507925646113e-09	6.7741364346769985e-15
28.0	2096999.9999999935	1.4445576539937524e-08	2.210279887997424e-14
29.0	2096999.9999999856	3.097814063481014e-08	6.970261228244067e-14
30.0	2096999.999999969	6.498806478403734e-08	2.1265974365169827e-13
31.0	2096999.999999935	1.3345794016639703e-07	6.283038132982395e-13
32.0	2096999.9999998666	2.684445680247259e-07	1.7993021437443467e-12
33.0	2096999.9999997315	5.292042738290718e-07	4.9989493151419085e-12
34.0	2096999.9999994708	1.0230626399312044e-06	1.3485672433577674e-11
35.0	2096999.999998977	1.940598224733419e-06	3.535524117064046e-11
36.0	2096999.9999980594	3.613772769332875e-06	9.015292309663448e-11
37.0	2096999.9999963862	6.610103568344325e-06	2.2376791919193518e-10
38.0	2096999.9999933897	1.1882330080671842e-05	5.410595011847662e-10
39.0	2096999.999988117	2.1001876049100732e-05	1.2754073237813903e-09
40.0	2096999.9999789968	3.651645181484075e-05	2.9331043139618962e-09
41.0	2096999.9999634805	6.248816412511788e-05	6.585514699782548e-09
42.0	2096999.9999375052	0.00010528933525914052	1.4445598642736404e-08
43.0	2096999.9998946963	0.0001747597037057431	3.097821033742242e-08
44.0	2096999.9998252094	0.00028586152097020707	6.4988277443781e-08
45.0	2096999.9997140735	0.00046100881978179193	1.3345856847021033e-07
46.0	2096999.9995388577	0.0007332940431993202	2.6844636732686965e-07
47.0	2096999.9992664375	0.0011508890802041218	5.29209272778387e-07
48.0	2096999.9988485817	0.0017829577523062101	1.023076125603638e-06
49.0	2096999.9982160192	0.002727481417952224	1.94063357997459e-06
50.0	2096999.997270578	0.004121466256107391	3.6138629222559715e-06
51.0	2096999.99587492	0.00615406670225136	6.610327336263516e-06
52.0	2096999.993839323	0.009083220262390942	1.1882871140173026e-05
53.0	2096999.9909048968	0.013256439476930422	2.1003151456424512e-05
54.0	2096999.9867225573	0.01913644136288653	3.651938491915471e-05
55.0	2096999.9808270393	0.02733230693001155	6.249474963981766e-05
56.0	2096999.9726051984	0.038636846834819535	0.00010530378085778325
57.0	2096999.9612578494	0.05407079757456334	0.0001747906819160805
58.0	2096999.9457544116	0.07493438012602094	0.00028592650924765087
59.0	2096999.9247796934	0.10286661501213307	0.00046114227835026216
60.0	2096999.8966722428	0.13991260145629567	0.0007335624895666471
61.0	2096999.8593538362	0.18859873266529928	0.0011514182894769
62.0	2096999.810249849	0.2520155359605909	0.0017839808284318137
63.0	2096999.7462004833	0.33390749983539764	0.0027294220515321987
64.0	2096999.6633630781	0.4387688873866286	0.004125080119029647
65.0	2096999.5571060325	0.5719441472402144	0.006160677029587624
66.0	2096999.4218951757	0.7397311321074126	0.009095103133531115
67.0	2096999.2511737647	0.9494849369176233	0.013277442628386846
68.0	2096999.0372376204	1.2097197903406745	0.019172960747805685
69.0	2096998.771107249	1.5302060938152693	0.02739480167965137
70.0	2096998.4423991046	1.922059419569835	0.03874215061567732
71.0	2096998.0391984298	2.397818071499433	0.05424558825647942
72.0	2096997.5479363403	2.9715056964304	0.07522030663526859
73.0	2096996.953273997	3.6586754219360627	0.10332775729048332
74.0	2096996.2379968208	4.476432100666085	0.14064616394586232
75.0	2096995.3829217353	5.443429466126927	0.18975015095477618
76.0	2096994.366820383	6.579839352281482	0.2537995167890227
77.0	2096993.166361131	7.907290595469965	0.33663692188692984
78.0	2096991.7560724826	9.448775813145321	0.44289396750565824
79.0	2096990.1083302193	11.228524926035771	0.578104824269802
80.0	2096988.1933702496	13.271845040434378	0.7488262352409437
81.0	2096985.9793287243	15.604927113469	0.9627623795460101
82.0	2096983.432310507	18.254620661656094	1.2288927510884802
83.0	2096980.5164865872	21.24817861518434	1.5576008954949208
84.0	2096977.1942204894	24.612975239872153	1.9608015701855124
85.0	2096973.42622319	28.37620081867469	2.4520636597559125
86.0	2096969.1717355216	32.56453747959205	3.0467260030656687
87.0	2096964.3887365174	37.20382115400421	3.762003179226546
88.0	2096959.0341756667	42.318695129434886	4.617078264611948
89.0	2096953.064226606	47.93226100828124	5.633179617081703
90.0	2096946.4345593746	54.06573308856668	6.833638869070505
91.0	2096939.1006280424	60.73810223866296	8.243927517356894
92.0	2096931.017970244	67.96581524460981	9.891669780650979
93.0	2096922.1425149748	75.76247537042542	11.806629750305573
94.0	2096912.4308948792	84.13856949751079	14.020671275675323
95.0	2096901.8407592268	93.10122671179082	16.56768949301501
96.0	2096890.3310837953	102.65401260288289	19.483513412744575
97.0	2096877.8624739845	112.79676284731403	22.805779510679262
98.0	2096864.397457642	123.52545888841371	26.573776810057666
99.0	2096849.9007643014	134.83214772088542	30.8282644784306
100.0	2096834.3395878007	146.70490696033295	35.61126348265772
101.0	2096817.683829557	159.12785554884832	40.965824333230756
102.0	2096799.9063201179	172.08120963762806	46.935773394046834
103.0	2096780.9830169682	185.54138241527926	53.56544062536294
104.0	2096760.8931769594	199.4811259325221	60.899371957637186
105.0	2096739.61950211	213.86971232445774	68.98202975601986
106.0	2096717.1482579196	228.67315126167483	77.8574850252608
107.0	2096693.4693637132	243.85443997956995	87.569105120731
108.0	2096668.5764548997	259.37384184685106	98.15924077318611
109.0	2096642.46691738	275.1891891419103	109.66891620480583
110.0	2096615.1418946532	291.25620550964595	122.13752601562746
111.0	2096586.6062684748	307.52884346902414	135.6025423579933
112.0	2096556.868614173	323.95963232872805	150.09923569847138
113.0	2096525.9411319727	340.50003193842406	165.66041219931603
114.0	2096493.8395558624	357.1007878487982	182.31617044299068
115.0	2096460.5830417082	373.7122836658359	200.09367988207907
116.0	2096426.194036452	390.2848866543356	219.0169830316749
117.0	2096390.698130314	406.76928296243136	239.1068230406422
118.0	2096354.123893997	423.1167991929476	260.3804978901593
119.0	2096316.502702917	439.2797074287772	282.8517420804776
120.0	2096277.8685504908	455.21151121869036	306.53063628693565
121.0	2096238.2578524945	470.8672104380934	331.42354510030094
122.0	2096197.7092444615	486.20354334797804	357.5330826200372
123.0	2096156.263374032	501.17920457732066	384.8581053467161
124.0	2096113.9626900759	515.7550381429487	413.39373152527344
125.0	2096070.8512303317	529.8942049908887	443.1313858270174
126.0	2096026.974409182	543.5623248898777	474.0588680271994
127.0	2095982.378807083	556.727592827421	506.1604441377401
128.0	2095937.1119630348	569.3608703488576	539.4169582917889
129.0	2095891.2221713595	581.4357525384809	573.805963547915
130.0	2095844.7582839136	592.9286115678468	609.3018696860105
131.0	2095797.769518746	603.8186179296604	645.8761060030736
