Fecha,Inf Acumulado,MCL,MCLG,MCR,MCRG,MCG,MCGG
13/03/20,1,74,1,36,5,26,21
14/03/20,1,77,1,38,6,28,23
15/03/20,1,80,2,41,7,30,25
16/03/20,3,83,3,43,8,32,27
17/03/20,4,87,3,46,10,34,29
18/03/20,8,90,4,49,11,37,31
19/03/20,13,94,5,52,13,40,34
20/03/20,13,98,7,55,15,42,37
21/03/20,17,102,8,58,17,45,40
22/03/20,19,106,10,62,19,49,43
23/03/20,19,110,12,65,22,52,46
24/03/20,23,115,14,69,25,55,49
25/03/20,29,119,16,73,28,59,53
26/03/20,32,124,19,78,31,63,57
27/03/20,36,129,22,82,35,67,61
28/03/20,39,134,25,87,39,72,65
29/03/20,41,140,29,92,43,77,70
30/03/20,46,146,33,97,48,82,75
31/03/20,50,152,37,103,52,87,80
01/04/20,53,158,42,109,58,92,86
02/04/20,54,164,47,115,63,98,92
03/04/20,61,171,52,121,69,104,98
04/04/20,63,178,58,128,76,111,104
05/04/20,68,185,64,135,82,118,111
06/04/20,75,192,71,143,90,125,118
07/04/20,78,200,78,150,97,132,126
08/04/20,83,208,86,158,105,140,134
09/04/20,91,217,95,167,114,149,143
10/04/20,93,225,103,176,123,158,151
11/04/20,106,235,113,185,133,167,161
12/04/20,108,244,123,195,143,176,171
13/04/20,117,254,133,206,153,187,181
14/04/20,120,264,144,216,165,197,192
15/04/20,133,275,156,228,177,208,203
16/04/20,137,286,169,239,189,220,215
17/04/20,146,297,182,252,202,232,227
18/04/20,179,309,196,264,216,245,240
19/04/20,183,322,210,278,230,258,254
20/04/20,199,335,225,292,245,272,268
21/04/20,202,348,241,306,261,287,283
22/04/20,207,362,258,322,277,302,298
23/04/20,242,377,276,337,295,318,315
24/04/20,273,392,294,354,312,335,331
25/04/20,309,407,313,371,331,352,349
26/04/20,331,424,333,389,351,370,367
27/04/20,361,441,354,408,371,389,387
28/04/20,386,458,376,427,392,408,406
29/04/20,411,476,399,447,414,429,427
30/04/20,456,495,422,468,437,450,449
01/05/20,497,515,447,490,461,472,471
02/05/20,540,536,473,513,486,495,495
03/05/20,595,557,499,537,511,519,519
04/05/20,614,579,527,561,538,544,544
05/05/20,656,602,555,587,566,569,570
06/05/20,696,626,585,613,594,596,597
07/05/20,735,650,616,640,624,624,626
08/05/20,761,676,648,669,655,653,655
09/05/20,798,702,681,698,687,683,685
10/05/20,837,730,715,729,720,714,716
11/05/20,856,759,750,760,754,746,749
12/05/20,891,788,786,793,789,779,783
13/05/20,932,819,824,827,825,813,818
14/05/20,982,851,863,862,863,849,854
15/05/20,1035,884,903,899,902,886,891
16/05/20,1094,919,945,936,942,924,929
17/05/20,1125,954,987,975,983,964,969
18/05/20,1164,991,1031,1016,1026,1004,1010
19/05/20,1218,1029,1077,1057,1070,1047,1053
20/05/20,1257,1069,1123,1100,1115,1090,1097
21/05/20,1337,1110,1172,1144,1162,1135,1142
22/05/20,1378,1152,1221,1190,1210,1182,1189
23/05/20,1432,1196,1272,1238,1259,1229,1237
24/05/20,1500,1242,1324,1286,1310,1279,1287
25/05/20,1536,1289,1378,1337,1363,1330,1338
26/05/20,1581,1338,1434,1389,1417,1382,1391
27/05/20,1616,1388,1491,1442,1472,1436,1445
28/05/20,1675,1441,1549,1497,1529,1492,1501
29/05/20,1710,1495,1609,1554,1588,1550,1558
30/05/20,1785,1550,1671,1613,1648,1609,1618
31/05/20,1837,1608,1734,1673,1710,1670,1679
01/06/20,1877,1668,1799,1735,1773,1732,1741
02/06/20,1933,1729,1865,1799,1838,1797,1806
03/06/20,1976,1793,1934,1864,1905,1863,1872
04/06/20,2028,1859,2003,1932,1974,1931,1940
05/06/20,2075,1927,2075,2001,2044,2001,2010
06/06/20,2116,1997,2148,2073,2116,2073,2082
07/06/20,2146,2069,2224,2146,2190,2146,2155
08/06/20,2167,2143,2301,2221,2266,2222,2231
09/06/20,2212,2220,2379,2299,2344,2300,2309
10/06/20,2299,2299,2460,2378,2423,2380,2388
11/06/20,2357,2380,2542,2459,2505,2461,2470
12/06/20,2420,2464,2627,2543,2588,2545,2554
13/06/20,2488,2551,2713,2629,2674,2631,2639
14/06/20,2544,2640,2801,2717,2761,2720,2727
15/06/20,2600,2731,2892,2807,2851,2810,2817
16/06/20,2665,2825,2984,2899,2942,2902,2909
17/06/20,2741,2921,3078,2994,3036,2997,3004
18/06/20,2820,3021,3174,3090,3132,3094,3100
19/06/20,2910,3122,3273,3190,3230,3193,3199
20/06/20,3006,3227,3373,3291,3330,3295,3301
21/06/20,3096,3334,3475,3395,3433,3399,3404
22/06/20,3191,3444,3580,3501,3538,3505,3510
23/06/20,3351,3557,3687,3610,3645,3614,3618
24/06/20,3554,3672,3796,3721,3754,3725,3729
25/06/20,3706,3790,3907,3835,3866,3838,3842
26/06/20,3841,3911,4020,3951,3980,3954,3957
27/06/20,4018,4034,4136,4070,4097,4073,4075
28/06/20,4177,4161,4254,4191,4216,4194,4195
29/06/20,4265,4289,4374,4315,4337,4317,4318
30/06/20,4441,4421,4497,4441,4461,4443,4444
01/07/20,4549,4555,4622,4570,4587,4571,4572
02/07/20,4631,4692,4749,4701,4717,4703,4702
03/07/20,4886,4832,4879,4836,4848,4836,4836
04/07/20,5011,4974,5011,4973,4983,4973,4972
05/07/20,5110,5119,5146,5112,5120,5111,5110
06/07/20,5259,5266,5283,5254,5259,5253,5252
07/07/20,5415,5415,5422,5399,5402,5397,5396
08/07/20,5580,5567,5565,5547,5547,5544,5542
09/07/20,5739,5721,5709,5697,5695,5694,5692
10/07/20,5926,5877,5856,5851,5846,5846,5844
11/07/20,6117,6035,6006,6006,5999,6001,5999
12/07/20,6276,6196,6159,6165,6156,6159,6157
13/07/20,6385,6358,6314,6327,6315,6320,6318
14/07/20,6661,6522,6472,6491,6478,6483,6481
15/07/20,6826,6688,6632,6658,6643,6650,6648
16/07/20,6954,6855,6796,6828,6812,6819,6817
17/07/20,7073,7024,6962,7000,6984,6990,6990
18/07/20,7165,7194,7131,7176,7158,7165,7165
19/07/20,7358,7366,7302,7354,7336,7342,7343
20/07/20,7475,7538,7477,7535,7517,7523,7524
21/07/20,7576,7712,7654,7719,7701,7706,7709
22/07/20,7813,7887,7834,7906,7889,7892,7896
23/07/20,8062,8062,8017,8096,8080,8081,8086
24/07/20,,8238,8203,8288,8274,8272,8279
25/07/20,,8414,8392,8484,8471,8467,8476
26/07/20,,8591,8584,8682,8672,8664,8675
27/07/20,,8768,8779,8883,8876,8865,8878
28/07/20,,8945,8978,9086,9084,9068,9083
29/07/20,,9121,9179,9293,9295,9274,9292
30/07/20,,9298,9383,9502,9509,9483,9504
31/07/20,,9474,9590,9714,9727,9694,9719
01/08/20,,9650,9801,9929,9949,9909,9937
02/08/20,,9824,10014,10147,10175,10127,10158
03/08/20,,9999,10231,10367,10404,10347,10382
04/08/20,,10172,10451,10591,10637,10570,10610
05/08/20,,10344,10675,10816,10873,10797,10841
06/08/20,,10515,10901,11045,11113,11026,11075
07/08/20,,10684,11131,11277,11358,11257,11312
08/08/20,,10853,11365,11511,11606,11492,11552
09/08/20,,11019,11601,11747,11857,11730,11796
10/08/20,,11184,11841,11987,12113,11970,12042
11/08/20,,11347,12085,12229,12373,12213,12292
12/08/20,,11508,12332,12473,12637,12459,12546
13/08/20,,11668,12582,12721,12905,12708,12802
14/08/20,,11825,12836,12971,13177,12960,13062
15/08/20,,11980,13093,13223,13453,13214,13325
16/08/20,,12133,13354,13478,13733,13471,13591
17/08/20,,12284,13618,13735,14017,13731,13860
18/08/20,,12432,13886,13995,14306,13994,14133
19/08/20,,12578,14158,14258,14599,14259,14409
20/08/20,,12721,14433,14523,14896,14528,14688
21/08/20,,12862,14712,14790,15197,14798,14971
22/08/20,,13000,14995,15060,15503,15072,15257
23/08/20,,13136,15281,15331,15813,15348,15546
24/08/20,,13268,15572,15606,16128,15627,15838
25/08/20,,13399,15866,15882,16448,15909,16133
26/08/20,,13526,16163,16161,16771,16193,16432
27/08/20,,13651,16465,16442,17100,16479,16734
