Fecha,Inf Casos diarios, MCL, MCLG, MCR, MCRG, MCG, MCGG
13/03/20,1,15,1,3,2,1,1
14/03/20,0,1,0,0,0,0,0
15/03/20,0,1,0,1,0,0,0
16/03/20,2,1,1,1,0,0,0
17/03/20,1,1,1,1,1,0,0
18/03/20,4,2,1,1,1,1,1
19/03/20,5,2,1,1,1,1,1
20/03/20,0,2,1,1,1,1,1
21/03/20,4,2,1,1,1,1,1
22/03/20,2,2,1,1,1,1,1
23/03/20,0,2,2,1,1,1,1
24/03/20,4,2,2,2,2,1,1
25/03/20,6,3,2,2,2,2,2
26/03/20,3,3,2,2,2,2,2
27/03/20,4,3,3,2,2,2,2
28/03/20,3,3,3,3,2,2,2
29/03/20,2,3,3,3,3,3,3
30/03/20,5,4,4,3,3,3,3
31/03/20,4,4,4,4,3,3,3
01/04/20,3,4,4,4,4,4,4
02/04/20,1,4,5,4,4,4,4
03/04/20,7,5,5,5,5,5,5
04/04/20,2,5,6,5,5,5,5
05/04/20,5,6,6,6,6,6,6
06/04/20,7,6,7,6,6,6,6
07/04/20,3,6,7,7,7,7,7
08/04/20,5,7,8,8,7,8,8
09/04/20,8,7,9,8,8,8,8
10/04/20,2,8,9,9,9,9,9
11/04/20,13,8,10,10,10,10,10
12/04/20,2,9,11,10,10,11,11
13/04/20,9,9,11,11,11,11,11
14/04/20,3,10,12,12,12,12,12
15/04/20,13,11,13,13,13,13,13
16/04/20,4,12,14,14,14,14,14
17/04/20,9,12,15,15,15,15,15
18/04/20,33,13,16,16,16,16,16
19/04/20,4,14,17,17,17,17,17
20/04/20,16,15,18,18,18,18,18
21/04/20,3,16,19,19,19,19,19
22/04/20,5,17,20,20,20,20,20
23/04/20,35,18,21,21,21,21,21
24/04/20,31,19,22,22,22,23,22
25/04/20,36,20,23,23,23,24,24
26/04/20,22,21,24,24,24,25,25
27/04/20,30,23,25,25,26,26,26
28/04/20,25,24,26,27,27,27,27
29/04/20,25,25,27,28,28,28,28
30/04/20,45,27,28,29,29,29,29
01/05/20,41,28,30,30,30,31,30
02/05/20,43,29,31,31,31,32,32
03/05/20,55,31,32,32,33,33,33
04/05/20,19,32,33,34,34,34,34
05/05/20,42,34,34,35,35,35,35
06/05/20,40,35,35,36,36,36,36
07/05/20,39,37,36,37,37,37,37
08/05/20,26,38,37,38,38,38,38
09/05/20,37,40,39,39,39,39,39
10/05/20,39,42,40,40,40,40,40
11/05/20,19,43,41,41,41,41,41
12/05/20,35,44,42,42,42,42,42
13/05/20,41,46,43,43,43,43,43
14/05/20,50,47,44,44,44,44,44
15/05/20,53,48,45,45,45,44,44
16/05/20,59,50,45,46,45,45,45
17/05/20,31,51,46,46,46,46,46
18/05/20,39,52,47,47,47,47,47
19/05/20,54,52,48,48,48,47,47
20/05/20,39,53,49,48,48,48,48
21/05/20,80,54,49,49,49,48,48
22/05/20,41,54,50,49,49,49,49
23/05/20,54,55,50,50,50,49,49
24/05/20,68,55,51,50,50,50,50
25/05/20,36,55,51,51,51,50,50
26/05/20,45,55,52,51,51,51,51
27/05/20,35,54,52,51,51,51,51
28/05/20,59,54,52,52,52,51,51
29/05/20,35,54,52,52,52,51,52
30/05/20,75,53,53,52,52,52,52
31/05/20,52,52,53,52,52,52,52
01/06/20,40,51,53,52,52,52,52
02/06/20,56,50,53,52,52,52,52
03/06/20,43,49,53,52,52,52,52
04/06/20,52,48,52,52,52,52,52
05/06/20,47,47,52,52,52,52,52
06/06/20,41,45,52,52,52,52,52
07/06/20,30,44,52,52,52,52,52
08/06/20,21,42,51,51,52,52,52
09/06/20,45,41,51,51,51,52,52
10/06/20,87,39,51,51,51,51,52
11/06/20,58,38,50,51,51,51,52
12/06/20,63,36,50,50,50,51,51
13/06/20,68,35,49,50,50,51,51
14/06/20,56,33,48,49,50,50,51
15/06/20,56,32,48,49,49,50,51
16/06/20,65,30,47,48,49,50,50
17/06/20,76,29,46,48,48,49,50
18/06/20,79,27,46,47,48,49,49
19/06/20,90,26,45,47,47,48,49
20/06/20,,25,44,46,47,48,49
21/06/20,,23,43,46,46,48,48
22/06/20,,22,43,45,46,47,48
23/06/20,,21,42,45,45,47,47
24/06/20,,20,41,44,45,46,47
25/06/20,,18,40,43,44,46,46
26/06/20,,17,39,43,43,45,46
27/06/20,,16,38,42,43,45,45
28/06/20,,15,37,41,42,44,45
29/06/20,,14,37,41,42,44,44
30/06/20,,14,36,40,41,43,44
01/07/20,,13,35,39,40,42,43
02/07/20,,12,34,39,40,42,43
03/07/20,,,,,,,
04/07/20,,,,,,,
05/07/20,,,,,,,
06/07/20,,,,,,,
07/07/20,,,,,,,
08/07/20,,,,,,,
09/07/20,,,,,,,
10/07/20,,,,,,,
11/07/20,,,,,,,
12/07/20,,,,,,,
13/07/20,,,,,,,
14/07/20,,,,,,,
15/07/20,,,,,,,
16/07/20,,,,,,,
17/07/20,,,,,,,
18/07/20,,,,,,,
19/07/20,,,,,,,
20/07/20,,,,,,,
21/07/20,,,,,,,
22/07/20,,,,,,,
23/07/20,,,,,,,
24/07/20,,,,,,,
25/07/20,,,,,,,
26/07/20,,,,,,,
27/07/20,,,,,,,
28/07/20,,,,,,,
29/07/20,,,,,,,
30/07/20,,,,,,,
31/07/20,,,,,,,
